epoch,train_accuracy,val_accuracy
1,0.4244,0.3932
2,0.5544,0.4182
3,0.6008,0.5324
4,0.634,0.613
5,0.6572,0.5904
6,0.671,0.5964
7,0.6801,0.6576
8,0.6967,0.6734
9,0.7053,0.6206
10,0.7094,0.619
11,0.7123,0.5936
12,0.7189,0.6572
13,0.7301,0.6114
14,0.7606,0.7024
15,0.7809,0.7246
16,0.7918,0.747
17,0.8052,0.7226
18,0.8118,0.7256
19,0.818,0.728
20,0.8325,0.7402
21,0.8399,0.7502
22,0.8478,0.7486
23,0.8573,0.7406
24,0.8641,0.7412
25,0.8714,0.7402
26,0.8782,0.7204
27,0.9061,0.7626
28,0.922,0.7608
29,0.9314,0.7588
30,0.9361,0.7626
31,0.9451,0.766
32,0.9476,0.755
33,0.9531,0.7572
34,0.9559,0.7658
35,0.9599,0.7538
36,0.9631,0.759
37,0.9731,0.7552
38,0.9768,0.7586
39,0.9795,0.7606
40,0.9811,0.7628
41,0.982,0.76

test_loss,test_accuracy
0.9344,0.7501
