Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.5873,0.5989,0.6993,0.7878,0.9247
1,0.6397,0.6061,0.7457,0.7992,0.9445
2,0.5792,0.618,0.775,0.7747,0.958
3,0.5353,0.558,0.7954,0.7959,0.9616
4,0.5629,0.585,0.779,0.8057,0.9655
5,0.5797,0.5857,0.7959,0.7994,0.9698
6,0.5264,0.5474,0.8062,0.7988,0.9714
7,0.5156,0.5414,0.8068,0.7924,0.9711
8,0.5667,0.5685,0.8041,0.8003,0.974
9,0.5448,0.5544,0.8035,0.7825,0.9741
10,0.5362,0.5501,0.8128,0.8116,0.9749
11,0.5371,0.557,0.8069,0.7884,0.9768
12,0.5492,0.5548,0.8147,0.7863,0.9752
13,0.5608,0.5639,0.8161,0.7908,0.9752
14,0.597,0.5623,0.8192,0.8029,0.9759
15,0.5827,0.5622,0.8157,0.7935,0.9765
16,0.5815,0.5585,0.8106,0.7812,0.9768
17,0.5563,0.5698,0.807,0.7662,0.9764
18,0.5508,0.5567,0.8066,0.7831,0.9746
19,0.5779,0.5673,0.817,0.7833,0.9768
20,0.577,0.5684,0.8132,0.8056,0.9778
21,0.5877,0.5657,0.8062,0.7765,0.9771
22,0.6063,0.5947,0.8168,0.7829,0.9786
23,0.6116,0.5921,0.8192,0.7905,0.9782
24,0.603,0.5759,0.8245,0.7993,0.9778
25,0.5913,0.5602,0.8162,0.7868,0.9777
26,0.6044,0.5848,0.8088,0.7761,0.9773
27,0.6248,0.5855,0.8163,0.7931,0.9775
28,0.6064,0.5873,0.8059,0.7757,0.9787
29,0.6134,0.5877,0.8024,0.7713,0.9776
30,0.6145,0.6024,0.8159,0.7741,0.9773
31,0.6207,0.5964,0.8009,0.774,0.9782
32,0.6239,0.5965,0.8169,0.783,0.9777
33,0.6043,0.5817,0.8184,0.7828,0.9793
34,0.6286,0.5979,0.817,0.7934,0.9795
35,0.6294,0.604,0.8093,0.792,0.9779
36,0.6202,0.5945,0.8116,0.7721,0.9771
37,0.6243,0.6068,0.8167,0.7794,0.9785
38,0.646,0.6034,0.8196,0.79,0.9794
39,0.6114,0.5876,0.824,0.8012,0.9787
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9795,at Epoch,34
