Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.1689,0.4349,0.279,0.4581,0.9502
1,0.2154,0.4018,0.3166,0.5587,0.9646
2,0.1861,0.3941,0.3456,0.5902,0.969
3,0.1918,0.3375,0.3843,0.6573,0.9707
4,0.2177,0.2964,0.394,0.6902,0.9718
5,0.1899,0.3192,0.4245,0.7433,0.972
6,0.1982,0.2352,0.404,0.735,0.9712
7,0.1699,0.3256,0.4423,0.7442,0.9687
8,0.1989,0.2782,0.4678,0.774,0.9733
9,0.1856,0.3906,0.4358,0.7548,0.9759
10,0.2027,0.3583,0.4354,0.7388,0.9695
11,0.2151,0.3435,0.4608,0.766,0.9759
12,0.2068,0.2864,0.4443,0.7503,0.9756
13,0.2082,0.3405,0.4943,0.7884,0.9768
14,0.2096,0.2551,0.4972,0.7819,0.9741
15,0.1646,0.3124,0.4581,0.7138,0.9691
16,0.2143,0.3472,0.5071,0.7754,0.977
17,0.2153,0.3735,0.4889,0.7677,0.9767
18,0.1856,0.3773,0.4796,0.7482,0.9753
19,0.2166,0.3655,0.5006,0.7687,0.9761
20,0.1943,0.3573,0.4622,0.7443,0.9729
21,0.204,0.3556,0.4856,0.7476,0.9776
22,0.2273,0.4347,0.5053,0.77,0.9764
23,0.2148,0.3966,0.5282,0.794,0.9767
24,0.2044,0.3291,0.5228,0.7783,0.9755
25,0.2164,0.374,0.5082,0.7513,0.9747
26,0.276,0.3658,0.484,0.7854,0.9765
27,0.2255,0.3745,0.5002,0.8203,0.9772
28,0.2019,0.3739,0.4796,0.7943,0.9739
29,0.2341,0.3928,0.5014,0.8141,0.9767
30,0.2252,0.3419,0.5128,0.7857,0.9758
31,0.2501,0.4189,0.489,0.7917,0.9756
32,0.2293,0.372,0.5032,0.765,0.9743
33,0.2381,0.3991,0.5136,0.76,0.9766
34,0.2095,0.4042,0.516,0.7574,0.9761
35,0.2382,0.4194,0.5166,0.7891,0.9765
36,0.2854,0.4736,0.5329,0.7792,0.9782
37,0.2626,0.432,0.4993,0.796,0.9759
38,0.2635,0.4351,0.5226,0.8066,0.9774
39,0.2613,0.4524,0.4909,0.7668,0.9771
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9782,at Epoch,36
