Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.2014,0.4635,0.4196,0.5555,0.9557
1,0.1976,0.4406,0.4306,0.6096,0.9635
2,0.2058,0.4904,0.4015,0.6402,0.9582
3,0.2057,0.4797,0.4442,0.595,0.9682
4,0.2051,0.4803,0.4212,0.5998,0.9695
5,0.205,0.5474,0.3656,0.6206,0.973
6,0.206,0.5702,0.3582,0.6573,0.9709
7,0.2098,0.5479,0.4095,0.6517,0.9723
8,0.2161,0.5099,0.3367,0.6611,0.9677
9,0.2121,0.5877,0.3934,0.6639,0.9753
10,0.2076,0.5838,0.4267,0.6735,0.9755
11,0.2147,0.5996,0.3363,0.6599,0.9721
12,0.2116,0.6258,0.3741,0.6527,0.974
13,0.2074,0.5837,0.4661,0.6693,0.974
14,0.2095,0.6247,0.4325,0.6864,0.9753
15,0.2098,0.6121,0.3917,0.6809,0.9767
16,0.2086,0.6001,0.382,0.6986,0.9763
17,0.2093,0.5858,0.4164,0.7021,0.9746
18,0.2066,0.5832,0.4566,0.7166,0.9771
19,0.2064,0.5873,0.4285,0.7208,0.9758
20,0.2067,0.6071,0.4289,0.7299,0.9789
21,0.2084,0.6176,0.4082,0.7217,0.9774
22,0.2065,0.5968,0.4352,0.7215,0.9765
23,0.2077,0.6093,0.4649,0.7219,0.9755
24,0.2119,0.5297,0.4651,0.6994,0.9747
25,0.2073,0.5896,0.4286,0.7189,0.976
26,0.2082,0.5875,0.4834,0.7285,0.9761
27,0.2087,0.5963,0.4339,0.7258,0.9765
28,0.2093,0.5951,0.4741,0.7207,0.9764
29,0.2081,0.6118,0.4651,0.7365,0.9762
30,0.2085,0.5513,0.4601,0.7205,0.975
31,0.209,0.6223,0.4976,0.7213,0.976
32,0.2073,0.605,0.4777,0.7364,0.9755
33,0.2095,0.6126,0.4717,0.7248,0.9756
34,0.2091,0.6012,0.4496,0.7292,0.9748
35,0.209,0.6125,0.469,0.7211,0.9769
36,0.2087,0.5607,0.4657,0.7073,0.9783
37,0.2084,0.5855,0.4203,0.7078,0.976
38,0.2074,0.5883,0.4536,0.7281,0.9766
39,0.2091,0.5713,0.4487,0.7194,0.9777
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9789,at Epoch,20
