Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.1451,0.4183,0.3327,0.3692,0.9212
1,0.3395,0.4154,0.314,0.3705,0.9489
2,0.3989,0.4284,0.3743,0.4055,0.9604
3,0.4642,0.4323,0.4257,0.3832,0.9605
4,0.4886,0.4445,0.3836,0.367,0.9652
5,0.488,0.4421,0.416,0.3712,0.9666
6,0.4198,0.441,0.4074,0.3706,0.9622
7,0.5151,0.4608,0.4243,0.3611,0.9699
8,0.4537,0.4525,0.4299,0.3695,0.9686
9,0.4681,0.4829,0.4343,0.3725,0.9693
10,0.4465,0.4905,0.4272,0.3551,0.9699
11,0.4677,0.4999,0.4234,0.3061,0.9699
12,0.4862,0.5141,0.4342,0.3155,0.9724
13,0.462,0.4983,0.4073,0.2833,0.9658
14,0.4968,0.5215,0.4311,0.2876,0.9713
15,0.5012,0.5178,0.417,0.2826,0.9712
16,0.5009,0.5349,0.4249,0.2835,0.9741
17,0.5018,0.5188,0.424,0.2719,0.9679
18,0.5097,0.531,0.4341,0.2911,0.9694
19,0.5189,0.5421,0.4315,0.2797,0.9732
20,0.5161,0.545,0.433,0.2895,0.9723
21,0.5049,0.5254,0.4057,0.2794,0.9721
22,0.5115,0.5371,0.4326,0.2847,0.9746
23,0.5135,0.5368,0.4169,0.2735,0.9739
24,0.523,0.5452,0.4335,0.2837,0.9745
25,0.5136,0.5357,0.3992,0.2696,0.9737
26,0.5143,0.5339,0.4298,0.2861,0.9731
27,0.5119,0.6016,0.4276,0.2811,0.9726
28,0.5226,0.6099,0.4368,0.2842,0.9743
29,0.5099,0.5932,0.4417,0.2845,0.9749
30,0.5118,0.6225,0.4327,0.2779,0.9736
31,0.5251,0.6202,0.4319,0.2815,0.9758
32,0.5044,0.6154,0.4296,0.272,0.9745
33,0.5155,0.6256,0.4412,0.2855,0.9745
34,0.5179,0.6268,0.4303,0.2861,0.9755
35,0.5132,0.6335,0.4437,0.2876,0.9754
36,0.514,0.6246,0.4384,0.2856,0.9746
37,0.5203,0.6339,0.4352,0.2834,0.9757
38,0.5192,0.6367,0.4376,0.2833,0.9741
39,0.5315,0.6359,0.4343,0.2855,0.9756
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9758,at Epoch,31
