epoch,train_accuracy,val_accuracy
1,0.422,0.3796
2,0.5562,0.4944
3,0.6061,0.5394
4,0.6361,0.4606
5,0.6542,0.5974
6,0.6736,0.6472
7,0.6838,0.518
8,0.6902,0.6418
9,0.7013,0.6532
10,0.7078,0.6532
11,0.7154,0.6666
12,0.7206,0.6178
13,0.7244,0.6764
14,0.7351,0.6238
15,0.7387,0.6338
16,0.7438,0.6552
17,0.7454,0.6788
18,0.7485,0.6926
19,0.7491,0.6526
20,0.7573,0.7276
21,0.763,0.6342
22,0.7644,0.6586
23,0.7703,0.6952
24,0.772,0.689
25,0.7761,0.6504
26,0.8056,0.7288
27,0.8235,0.749
28,0.8331,0.7432
29,0.8414,0.7488
30,0.8492,0.72
31,0.8575,0.7438
32,0.8646,0.7372
33,0.8801,0.7568
34,0.8948,0.7638
35,0.8997,0.7578
36,0.9079,0.7544
37,0.9133,0.7614
38,0.9186,0.758
39,0.9218,0.7632
40,0.9298,0.7632
41,0.9362,0.763
42,0.94,0.7666
43,0.9427,0.763
44,0.9442,0.7638
45,0.9475,0.763
46,0.9473,0.7584
47,0.9495,0.7596
48,0.9556,0.7622
49,0.9556,0.7596
50,0.9587,0.7632

test_loss,test_accuracy
0.9798,0.7558
