epoch,train_accuracy,val_accuracy
1,0.4479,0.229
2,0.5907,0.5232
3,0.6468,0.581
4,0.6748,0.6252
5,0.6969,0.4794
6,0.7194,0.5354
7,0.7316,0.6316
8,0.748,0.6228
9,0.7596,0.6054
10,0.7637,0.6548
11,0.7781,0.651
12,0.7819,0.6118
13,0.7964,0.6882
14,0.8023,0.6886
15,0.8114,0.6318
16,0.8172,0.664
17,0.8239,0.6826
18,0.8326,0.607
19,0.8372,0.6918
20,0.8435,0.7102
21,0.849,0.6904
22,0.8568,0.7282
23,0.8645,0.6726
24,0.872,0.7372
25,0.8737,0.7442
26,0.878,0.725
27,0.8862,0.6586
28,0.8859,0.7154
29,0.8924,0.7236
30,0.8978,0.7304
31,0.9261,0.762
32,0.9492,0.7628
33,0.9555,0.7422
34,0.9609,0.7636
35,0.9652,0.7404
36,0.9678,0.7576
37,0.9689,0.752
38,0.9697,0.7578
39,0.9694,0.7552
40,0.9804,0.7556
41,0.9864,0.761
42,0.989,0.7626
43,0.9903,0.7654
44,0.9911,0.7656
45,0.9906,0.7618
46,0.9914,0.7654
47,0.9915,0.763
48,0.9916,0.7466
49,0.9915,0.762
50,0.9944,0.7668

test_loss,test_accuracy
1.2417,0.7559
