Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.2712,0.4388,0.0961,0.4533,0.9361
1,0.3741,0.4841,0.1,0.4341,0.947
2,0.4266,0.5033,0.0962,0.4589,0.9615
3,0.4387,0.5001,0.0977,0.4544,0.9647
4,0.4721,0.525,0.1025,0.4616,0.9671
5,0.4698,0.5149,0.1002,0.3836,0.9646
6,0.4656,0.5176,0.0984,0.4165,0.9666
7,0.485,0.535,0.1061,0.3588,0.9643
8,0.4658,0.5222,0.1142,0.3669,0.9625
9,0.4869,0.5446,0.1247,0.3955,0.9669
10,0.4575,0.5093,0.1107,0.4729,0.9704
11,0.4835,0.5328,0.1449,0.4434,0.9662
12,0.494,0.5375,0.1229,0.4686,0.9708
13,0.5086,0.5463,0.1203,0.409,0.97
14,0.4845,0.5426,0.1432,0.4099,0.9678
15,0.5082,0.5642,0.1456,0.4782,0.9718
16,0.4991,0.5465,0.1353,0.4694,0.9684
17,0.5113,0.6115,0.1433,0.3973,0.9714
18,0.503,0.5356,0.1374,0.3844,0.97
19,0.5026,0.5479,0.1356,0.4579,0.9708
20,0.4963,0.5178,0.1458,0.3912,0.9721
21,0.4998,0.5371,0.1391,0.3849,0.9692
22,0.5254,0.5905,0.16,0.488,0.9714
23,0.5249,0.6148,0.1739,0.3937,0.9692
24,0.499,0.5996,0.1495,0.4702,0.9722
25,0.5116,0.5419,0.1571,0.4601,0.9699
26,0.5153,0.5541,0.1473,0.442,0.9689
27,0.5131,0.5578,0.1676,0.4388,0.9727
28,0.5111,0.5778,0.1387,0.4546,0.9723
29,0.5183,0.5751,0.1555,0.5008,0.9732
30,0.5115,0.5437,0.161,0.4795,0.9715
31,0.5165,0.5817,0.1629,0.4967,0.9697
32,0.5121,0.5665,0.1329,0.5198,0.9731
33,0.5075,0.556,0.1602,0.5054,0.972
34,0.5197,0.5652,0.1589,0.4588,0.9744
35,0.5114,0.5171,0.1536,0.4497,0.9678
36,0.5226,0.5277,0.1522,0.4255,0.9698
37,0.5113,0.5418,0.1469,0.4316,0.972
38,0.5248,0.5484,0.1495,0.4226,0.9715
39,0.5149,0.5569,0.1552,0.4352,0.9726
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9744,at Epoch,34
