epoch,train_accuracy,val_accuracy
1,0.4848,0.3758
2,0.6318,0.6462
3,0.7008,0.6182
4,0.7453,0.6794
5,0.7797,0.642
6,0.8114,0.734
7,0.8356,0.7282
8,0.8607,0.7314
9,0.8785,0.751
10,0.8955,0.7298
11,0.9063,0.7578
12,0.918,0.7664
13,0.9256,0.7312
14,0.9326,0.7656
15,0.9392,0.7468
16,0.9426,0.7428
17,0.9446,0.7146
18,0.9685,0.784
19,0.9799,0.8026
20,0.9828,0.8
21,0.9843,0.7908
22,0.9855,0.7954
23,0.9852,0.7984
24,0.9842,0.7844
25,0.9891,0.8004
26,0.9915,0.796
27,0.9929,0.7968
28,0.9935,0.8018
29,0.9936,0.8

test_loss,test_accuracy
1.0793,0.7861
