Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.6736,0.7467,0.1209,0.2126,0.9387
1,0.7079,0.8093,0.1727,0.2394,0.9436
2,0.6979,0.8329,0.1798,0.2488,0.9483
3,0.6911,0.8355,0.1831,0.2425,0.9539
4,0.6493,0.8344,0.1803,0.2472,0.953
5,0.6904,0.8512,0.1833,0.2512,0.9598
6,0.65,0.84,0.1779,0.2425,0.956
7,0.6866,0.8447,0.1861,0.2583,0.9638
8,0.674,0.8535,0.1774,0.2486,0.9619
9,0.6661,0.8406,0.1881,0.2565,0.9624
10,0.6532,0.8435,0.1879,0.2572,0.9593
11,0.657,0.8401,0.1776,0.2731,0.9641
12,0.6457,0.8557,0.1887,0.2522,0.9634
13,0.6552,0.8444,0.1873,0.2585,0.9661
14,0.6351,0.8575,0.1873,0.2608,0.963
15,0.6507,0.796,0.1892,0.2599,0.9624
16,0.6528,0.8302,0.1949,0.2566,0.966
17,0.6593,0.8368,0.1826,0.2787,0.9673
18,0.6461,0.8293,0.199,0.2629,0.9652
19,0.6415,0.8268,0.1945,0.2637,0.9681
20,0.6388,0.8411,0.1976,0.2616,0.9662
21,0.6437,0.8402,0.169,0.2722,0.9644
22,0.6416,0.8312,0.1832,0.2889,0.9679
23,0.6273,0.8183,0.1834,0.3013,0.9663
24,0.6236,0.817,0.1844,0.3037,0.9647
25,0.6547,0.8165,0.1842,0.2981,0.9678
26,0.6424,0.8343,0.1856,0.3095,0.9704
27,0.6539,0.824,0.1649,0.3171,0.9701
28,0.6345,0.8312,0.1667,0.3266,0.9684
29,0.6436,0.7954,0.164,0.3162,0.9689
30,0.6529,0.8035,0.1829,0.296,0.9712
31,0.6384,0.7971,0.1847,0.3177,0.9713
32,0.6479,0.8033,0.1725,0.3327,0.9712
33,0.6314,0.8049,0.1833,0.324,0.9714
34,0.6402,0.7905,0.1698,0.3094,0.9702
35,0.6337,0.7868,0.1749,0.3237,0.9713
36,0.6497,0.7911,0.1635,0.3449,0.9677
37,0.641,0.7919,0.1637,0.3252,0.971
38,0.6328,0.7833,0.1503,0.3388,0.971
39,0.6413,0.7949,0.1879,0.3153,0.9718
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9718,at Epoch,39
