Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.5437,0.4835,0.501,0.4201,0.9408
1,0.6156,0.5153,0.4449,0.3442,0.95
2,0.5981,0.4893,0.4836,0.3606,0.9562
3,0.552,0.5143,0.4677,0.3355,0.959
4,0.6202,0.5193,0.4718,0.3393,0.962
5,0.558,0.5266,0.4982,0.3548,0.9639
6,0.5564,0.5213,0.4934,0.3575,0.9647
7,0.5637,0.5378,0.4907,0.3671,0.9616
8,0.5478,0.5253,0.4958,0.408,0.9643
9,0.5285,0.5099,0.487,0.3982,0.9609
10,0.5318,0.5181,0.4914,0.4317,0.9671
11,0.5442,0.5324,0.5053,0.46,0.9652
12,0.5452,0.5286,0.5244,0.5034,0.9698
13,0.5383,0.5249,0.5318,0.5074,0.9707
14,0.5257,0.5141,0.5222,0.5357,0.9652
15,0.5369,0.5327,0.5134,0.5855,0.9691
16,0.5391,0.5284,0.5327,0.5131,0.9687
17,0.546,0.5428,0.5242,0.5084,0.9684
18,0.5469,0.5466,0.5309,0.5164,0.9702
19,0.5288,0.5279,0.5245,0.5256,0.9713
20,0.5394,0.5358,0.5399,0.5177,0.9689
21,0.5417,0.5412,0.5399,0.5199,0.9707
22,0.5369,0.5492,0.5441,0.5546,0.9722
23,0.5008,0.5105,0.5272,0.5657,0.9625
24,0.5354,0.5398,0.5137,0.5151,0.9698
25,0.5444,0.5478,0.5366,0.4823,0.9727
26,0.5457,0.5491,0.5348,0.5194,0.9671
27,0.5336,0.5402,0.5508,0.6183,0.972
28,0.5387,0.5433,0.5441,0.4781,0.9722
29,0.5459,0.5492,0.5463,0.5442,0.9731
30,0.5391,0.546,0.5362,0.4773,0.9705
31,0.5401,0.5403,0.5416,0.4904,0.9721
32,0.5408,0.5466,0.54,0.5791,0.9727
33,0.5331,0.5404,0.5497,0.5087,0.9713
34,0.5471,0.5508,0.5392,0.4974,0.9726
35,0.5489,0.5541,0.5348,0.5447,0.9723
36,0.5445,0.5465,0.5453,0.5155,0.9715
37,0.5327,0.5371,0.541,0.53,0.971
38,0.5406,0.5422,0.5389,0.5335,0.9731
39,0.5507,0.581,0.5482,0.4936,0.9716
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9731,at Epoch,29
