Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.2481,0.297,0.3153,0.7103,0.9499
1,0.2582,0.2992,0.3922,0.7404,0.9569
2,0.283,0.3162,0.4008,0.7255,0.9647
3,0.2685,0.3207,0.3851,0.7926,0.9671
4,0.2729,0.3333,0.4108,0.7569,0.9679
5,0.2846,0.3368,0.3748,0.7219,0.9712
6,0.2611,0.3541,0.4057,0.7349,0.9713
7,0.2698,0.3672,0.3593,0.6847,0.9705
8,0.2695,0.3304,0.4351,0.6843,0.9709
9,0.2718,0.3412,0.4431,0.7044,0.9714
10,0.2817,0.3647,0.41,0.6655,0.9689
11,0.2781,0.362,0.4038,0.6683,0.972
12,0.2854,0.3899,0.4282,0.6816,0.9707
13,0.3139,0.3805,0.4173,0.6924,0.9725
14,0.2845,0.3062,0.4167,0.689,0.9709
15,0.2869,0.3791,0.4374,0.6899,0.9714
16,0.292,0.3433,0.4326,0.6684,0.9739
17,0.3143,0.3715,0.4294,0.6814,0.9715
18,0.2881,0.3824,0.4391,0.681,0.9737
19,0.3005,0.364,0.4055,0.6763,0.9744
20,0.293,0.3563,0.4441,0.6717,0.9738
21,0.3322,0.3775,0.4333,0.6728,0.9735
22,0.2893,0.363,0.4058,0.6772,0.9743
23,0.3281,0.4209,0.4042,0.6768,0.9725
24,0.3041,0.4252,0.4305,0.681,0.9749
25,0.3269,0.4131,0.4125,0.6785,0.9772
26,0.2789,0.4187,0.4066,0.6729,0.9724
27,0.3087,0.4006,0.3595,0.6584,0.975
28,0.3205,0.3946,0.4187,0.6503,0.9752
29,0.3042,0.4413,0.3752,0.6499,0.9733
30,0.3075,0.4109,0.365,0.6369,0.9757
31,0.3592,0.4121,0.4247,0.671,0.9719
32,0.3751,0.4127,0.383,0.6468,0.9753
33,0.3648,0.431,0.4004,0.6759,0.9745
34,0.3764,0.4249,0.418,0.6715,0.9728
35,0.3724,0.4363,0.3837,0.6482,0.9754
36,0.3758,0.4223,0.3631,0.6541,0.9782
37,0.3339,0.3963,0.4042,0.6616,0.9738
38,0.3725,0.3888,0.4172,0.667,0.9766
39,0.3722,0.3773,0.3718,0.6475,0.9753
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9782,at Epoch,36
