epoch,train_accuracy,val_accuracy
1,0.4501,0.186
2,0.5962,0.4694
3,0.6496,0.5372
4,0.6826,0.535
5,0.7058,0.581
6,0.7263,0.6202
7,0.7412,0.6214
8,0.7523,0.628
9,0.7621,0.5646
10,0.7752,0.5786
11,0.7857,0.6496
12,0.7936,0.5898
13,0.8038,0.643
14,0.8133,0.68
15,0.8181,0.7242
16,0.8255,0.671
17,0.833,0.6766
18,0.8429,0.7058
19,0.8449,0.715
20,0.8564,0.743
21,0.8593,0.7468
22,0.8644,0.713
23,0.8741,0.7456
24,0.8764,0.7192
25,0.8843,0.7476
26,0.8863,0.6684
27,0.8878,0.7034
28,0.8946,0.7304
29,0.8968,0.666
30,0.8987,0.734
31,0.9336,0.7498
32,0.9513,0.755
33,0.9589,0.7374
34,0.9614,0.7486
35,0.9633,0.7618
36,0.9668,0.7564
37,0.9671,0.7556
38,0.9678,0.7576
39,0.9707,0.7512
40,0.9691,0.7502
41,0.9803,0.7608
42,0.9861,0.767
43,0.9876,0.7632
44,0.9889,0.76
45,0.9895,0.7672
46,0.9914,0.7662
47,0.9906,0.765
48,0.9906,0.7544
49,0.9902,0.7552
50,0.9914,0.761

test_loss,test_accuracy
1.3224,0.747
