Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.1727,0.2979,0.17,0.2236,0.938
1,0.1861,0.292,0.2621,0.3511,0.9485
2,0.2042,0.3085,0.2615,0.359,0.9552
3,0.2496,0.3189,0.2822,0.4239,0.9588
4,0.3061,0.3208,0.3091,0.4397,0.9578
5,0.315,0.3118,0.3601,0.4627,0.96
6,0.3175,0.333,0.388,0.5469,0.9624
7,0.3254,0.3386,0.3868,0.533,0.9644
8,0.3094,0.3157,0.419,0.6072,0.9643
9,0.3279,0.3404,0.4707,0.6653,0.9638
10,0.3106,0.3245,0.5617,0.6885,0.9645
11,0.3288,0.3439,0.5029,0.67,0.9666
12,0.3227,0.3325,0.5726,0.706,0.9671
13,0.3141,0.3513,0.5656,0.6996,0.9683
14,0.2742,0.3431,0.5905,0.7137,0.9677
15,0.2447,0.3491,0.546,0.6914,0.9619
16,0.221,0.337,0.5988,0.7239,0.9653
17,0.2455,0.3505,0.5911,0.7116,0.9688
18,0.2502,0.3602,0.6053,0.7191,0.9673
19,0.2288,0.3401,0.5726,0.7132,0.9686
20,0.2205,0.3469,0.5499,0.7056,0.9632
21,0.2338,0.3506,0.5973,0.7449,0.9674
22,0.2257,0.3345,0.6083,0.7614,0.9678
23,0.2191,0.3284,0.5888,0.759,0.9671
24,0.2049,0.339,0.6012,0.7726,0.9682
25,0.2413,0.3478,0.5816,0.7854,0.9653
26,0.2117,0.3423,0.6156,0.8077,0.97
27,0.2316,0.3511,0.5445,0.7717,0.9641
28,0.2208,0.3319,0.6133,0.8284,0.9625
29,0.2293,0.3544,0.6183,0.8113,0.9682
30,0.2239,0.3455,0.6261,0.8244,0.97
31,0.2209,0.3455,0.6216,0.8313,0.9715
32,0.2218,0.3474,0.6042,0.8209,0.9704
33,0.2145,0.3467,0.5999,0.823,0.9692
34,0.1999,0.3307,0.6121,0.8265,0.9648
35,0.1975,0.3469,0.6078,0.7664,0.9716
36,0.1872,0.3461,0.6223,0.8288,0.9694
37,0.1926,0.3454,0.629,0.8065,0.9712
38,0.1872,0.3403,0.6471,0.7217,0.9719
39,0.1715,0.3583,0.657,0.7347,0.9688
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9719,at Epoch,38
