epoch,train_accuracy,val_accuracy
1,0.5102,0.1534
2,0.6637,0.6586
3,0.7189,0.6464
4,0.7574,0.6704
5,0.7833,0.6446
6,0.8076,0.6858
7,0.8311,0.7108
8,0.8503,0.7364
9,0.8705,0.7454
10,0.8876,0.7392
11,0.8994,0.737
12,0.9148,0.7586
13,0.926,0.713
14,0.931,0.7596
15,0.9391,0.7388
16,0.9418,0.7394
17,0.9489,0.7346
18,0.9483,0.7568
19,0.953,0.7442
20,0.9784,0.7804
21,0.99,0.7852
22,0.9929,0.7854
23,0.9944,0.7808
24,0.9946,0.7862
25,0.993,0.7754
26,0.9928,0.7834
27,0.9918,0.7772
28,0.9911,0.776
29,0.9902,0.774
30,0.9951,0.788
31,0.9976,0.7884
32,0.9982,0.7864
33,0.9982,0.7882
34,0.9986,0.7854
35,0.9987,0.7888
36,0.9983,0.7888
37,0.9981,0.7734
38,0.998,0.7734
39,0.9982,0.7874
40,0.9982,0.794
41,0.9982,0.7878
42,0.9979,0.7854
43,0.9981,0.7832
44,0.999,0.7806
45,0.9989,0.771
46,0.9993,0.7912
47,0.9993,0.7934
48,0.9995,0.7918
49,0.9996,0.7926
50,0.9997,0.7938

test_loss,test_accuracy
1.1477,0.7821
