epoch,train_accuracy,val_accuracy
1,0.4877,0.3688
2,0.6316,0.53
3,0.6966,0.6672
4,0.7427,0.7054
5,0.7805,0.7216
6,0.8093,0.6914
7,0.8356,0.7214
8,0.8561,0.7466
9,0.8791,0.7668
10,0.8962,0.7574
11,0.9084,0.7586
12,0.9187,0.7492
13,0.9267,0.743
14,0.937,0.7404
15,0.9616,0.786
16,0.9766,0.7984
17,0.9812,0.7914
18,0.9814,0.7938
19,0.9805,0.7896
20,0.9804,0.7922
21,0.9814,0.794
22,0.9867,0.811
23,0.9907,0.8062
24,0.9915,0.8006
25,0.9916,0.7988
26,0.9928,0.7984
27,0.9933,0.7978
28,0.9946,0.81
29,0.9949,0.807
30,0.9958,0.806
31,0.9963,0.809
32,0.9962,0.807

test_loss,test_accuracy
1.1472,0.7892
