Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.2207,0.6064,0.3804,0.6275,0.9513
1,0.2641,0.5835,0.4065,0.6222,0.9584
2,0.2546,0.5758,0.4194,0.6126,0.9623
3,0.2471,0.5808,0.45,0.6181,0.9648
4,0.2445,0.5863,0.4362,0.6181,0.968
5,0.2412,0.5869,0.4453,0.608,0.9704
6,0.2569,0.5894,0.4462,0.613,0.9694
7,0.23,0.5921,0.4486,0.6243,0.9708
8,0.2544,0.5907,0.4511,0.6101,0.9714
9,0.2764,0.5894,0.4535,0.6121,0.9734
10,0.2675,0.5852,0.4349,0.5943,0.9708
11,0.291,0.5881,0.4586,0.5925,0.9738
12,0.2764,0.5884,0.4481,0.5495,0.9712
13,0.2768,0.5825,0.4423,0.5306,0.9737
14,0.2836,0.5838,0.4392,0.5912,0.9738
15,0.3044,0.586,0.4434,0.5804,0.9714
16,0.2555,0.5847,0.4508,0.5717,0.9697
17,0.2882,0.5899,0.4229,0.546,0.973
18,0.2777,0.588,0.4418,0.5297,0.9712
19,0.2762,0.5998,0.4562,0.5759,0.9745
20,0.2871,0.586,0.4516,0.5574,0.9748
21,0.2881,0.5964,0.4595,0.563,0.9748
22,0.2896,0.5895,0.4585,0.5863,0.9756
23,0.2639,0.5819,0.4527,0.5929,0.9721
24,0.2853,0.5908,0.4482,0.5624,0.9742
25,0.293,0.5851,0.4518,0.6006,0.9755
26,0.2747,0.5942,0.4318,0.5874,0.974
27,0.2883,0.588,0.4463,0.5919,0.9747
28,0.2687,0.5913,0.4616,0.5558,0.9709
29,0.2682,0.588,0.4366,0.5743,0.9754
30,0.2816,0.5893,0.4552,0.5814,0.9729
31,0.281,0.5868,0.4552,0.5714,0.9751
32,0.2971,0.5887,0.4433,0.5772,0.9743
33,0.2798,0.5893,0.4476,0.588,0.9751
34,0.2561,0.5897,0.4539,0.5787,0.9769
35,0.2492,0.5893,0.4523,0.5848,0.9754
36,0.2886,0.5868,0.4339,0.5902,0.9742
37,0.2882,0.5908,0.4576,0.5825,0.9738
38,0.3027,0.5902,0.4496,0.573,0.9735
39,0.2769,0.585,0.4551,0.5791,0.9756
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9769,at Epoch,34
