epoch,train_accuracy,val_accuracy
1,0.5086,0.5714
2,0.6501,0.6306
3,0.7037,0.6772
4,0.7403,0.714
5,0.766,0.7084
6,0.7855,0.7292
7,0.8036,0.6822
8,0.82,0.7458
9,0.8353,0.7624
10,0.8509,0.7292
11,0.8595,0.7348
12,0.8748,0.7352
13,0.8858,0.7528
14,0.8981,0.7408
15,0.9343,0.7758
16,0.9579,0.7832
17,0.9659,0.7762
18,0.9716,0.782
19,0.9751,0.784
20,0.9759,0.764
21,0.9788,0.7636
22,0.9779,0.7756
23,0.9802,0.7798
24,0.9817,0.764
25,0.989,0.7872
26,0.9938,0.7924
27,0.994,0.7888
28,0.9951,0.774
29,0.9962,0.7856
30,0.9955,0.7808
31,0.9948,0.7884
32,0.9968,0.794
33,0.9978,0.7898
34,0.998,0.7888
35,0.9985,0.7912
36,0.9988,0.7906
37,0.9984,0.7944
38,0.9986,0.7856
39,0.9988,0.7906
40,0.9989,0.7914
41,0.9989,0.7946
42,0.9988,0.789
43,0.9989,0.7928
44,0.9988,0.786
45,0.9987,0.787
46,0.9994,0.788
47,0.9993,0.7898
48,0.999,0.7934
49,0.9994,0.7928
50,0.9994,0.79

test_loss,test_accuracy
1.269,0.7773
