epoch,train_accuracy,val_accuracy
1,0.4487,0.2602
2,0.591,0.4014
3,0.6452,0.526
4,0.6816,0.517
5,0.7013,0.653
6,0.7256,0.6868
7,0.7408,0.6376
8,0.7482,0.661
9,0.7601,0.6604
10,0.7712,0.6724
11,0.7809,0.6704
12,0.8225,0.7552
13,0.85,0.7592
14,0.869,0.75
15,0.8821,0.7756
16,0.8989,0.7546
17,0.908,0.743
18,0.921,0.75
19,0.9282,0.7174
20,0.9375,0.7698
21,0.9609,0.7738
22,0.9741,0.7734
23,0.9793,0.7866
24,0.9836,0.7718
25,0.9864,0.786
26,0.9854,0.7792
27,0.9863,0.7762
28,0.9876,0.7722
29,0.9927,0.784
30,0.9948,0.7878
31,0.995,0.7834
32,0.996,0.782
33,0.9957,0.7846
34,0.9963,0.7836
35,0.9963,0.7854
36,0.9976,0.784
37,0.9977,0.7848
38,0.9981,0.7846
39,0.9977,0.7848
40,0.9983,0.7824

test_loss,test_accuracy
1.079,0.7618
