Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.2372,0.6204,0.4187,0.515,0.9303
1,0.2973,0.5744,0.428,0.532,0.9482
2,0.3028,0.569,0.467,0.5568,0.9584
3,0.3124,0.5639,0.491,0.573,0.9638
4,0.3314,0.5448,0.4944,0.5737,0.9647
5,0.316,0.5285,0.4953,0.5749,0.9641
6,0.3838,0.5455,0.5014,0.5704,0.9659
7,0.4192,0.5238,0.5074,0.5783,0.9673
8,0.4282,0.4968,0.5065,0.579,0.972
9,0.3938,0.4905,0.5114,0.5806,0.9692
10,0.4271,0.5141,0.5126,0.5504,0.9665
11,0.4037,0.4665,0.5175,0.5262,0.9682
12,0.4413,0.484,0.4992,0.4802,0.971
13,0.4473,0.4015,0.5238,0.5088,0.972
14,0.4366,0.4886,0.5256,0.4816,0.9707
15,0.4116,0.5105,0.5135,0.4727,0.9693
16,0.4657,0.4063,0.5269,0.4782,0.9716
17,0.4854,0.4619,0.5157,0.4758,0.9741
18,0.4885,0.5067,0.5167,0.4733,0.9726
19,0.4755,0.4991,0.5226,0.4704,0.974
20,0.4968,0.5134,0.5191,0.4734,0.9734
21,0.4814,0.4993,0.5176,0.4729,0.9714
22,0.5003,0.5045,0.5233,0.4753,0.9732
23,0.4656,0.4893,0.5195,0.4685,0.9723
24,0.509,0.5076,0.5163,0.4755,0.9737
25,0.4895,0.4857,0.5179,0.4745,0.973
26,0.4885,0.4994,0.521,0.4744,0.9735
27,0.5007,0.4998,0.5158,0.4707,0.9724
28,0.488,0.4995,0.5155,0.4734,0.9723
29,0.5066,0.5009,0.5187,0.4763,0.971
30,0.5049,0.5136,0.514,0.4718,0.9736
31,0.4938,0.5042,0.52,0.477,0.9714
32,0.5071,0.516,0.5125,0.4718,0.9753
33,0.4902,0.5097,0.5094,0.456,0.9701
34,0.5016,0.5062,0.5137,0.4624,0.973
35,0.5152,0.5123,0.5189,0.4797,0.9754
36,0.503,0.5049,0.5149,0.4788,0.9745
37,0.5073,0.5036,0.5157,0.4747,0.9748
38,0.5135,0.5184,0.5129,0.4758,0.9754
39,0.5146,0.5132,0.5131,0.4741,0.9741
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9754,at Epoch,35
