Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.4506,0.3497,0.694,0.7385,0.9254
1,0.5426,0.4129,0.6923,0.7201,0.949
2,0.4851,0.3637,0.7296,0.7692,0.9565
3,0.4444,0.3265,0.7351,0.7898,0.9639
4,0.4482,0.3413,0.7549,0.8016,0.9676
5,0.4998,0.3805,0.7599,0.8046,0.9691
6,0.4833,0.3547,0.7242,0.7728,0.9704
7,0.4733,0.3702,0.7724,0.816,0.9721
8,0.4765,0.3696,0.7619,0.8085,0.9733
9,0.5199,0.4103,0.7949,0.8205,0.9733
10,0.5472,0.4143,0.7812,0.8074,0.9729
11,0.4687,0.3727,0.7775,0.8265,0.9739
12,0.4548,0.3529,0.7823,0.8117,0.9742
13,0.4905,0.3875,0.7737,0.7954,0.9772
14,0.4956,0.3774,0.804,0.8411,0.9761
15,0.4879,0.3807,0.7849,0.8176,0.9779
16,0.5137,0.3943,0.7821,0.7979,0.9764
17,0.4664,0.3697,0.779,0.8177,0.9763
18,0.5501,0.4305,0.7612,0.793,0.9781
19,0.4551,0.3564,0.7651,0.8101,0.9743
20,0.5029,0.4034,0.7816,0.7852,0.9765
21,0.4804,0.3932,0.8088,0.8249,0.978
22,0.5335,0.414,0.7896,0.8133,0.979
23,0.5504,0.4339,0.7897,0.7963,0.9792
24,0.5315,0.426,0.7682,0.785,0.9792
25,0.5175,0.4124,0.78,0.7891,0.9799
26,0.6018,0.469,0.799,0.8104,0.9794
27,0.5516,0.434,0.7601,0.7587,0.9795
28,0.5597,0.4394,0.8052,0.8263,0.9788
29,0.5197,0.4203,0.7896,0.783,0.9801
30,0.5859,0.46,0.7804,0.7926,0.9799
31,0.5151,0.4217,0.7446,0.7434,0.9778
32,0.6437,0.5223,0.7512,0.758,0.9767
33,0.5851,0.4596,0.8184,0.8295,0.9787
34,0.4995,0.3992,0.8093,0.8181,0.979
35,0.6273,0.508,0.7711,0.7784,0.9772
36,0.5389,0.4357,0.7651,0.7638,0.9796
37,0.5851,0.4674,0.7831,0.7864,0.9787
38,0.577,0.4569,0.7865,0.7813,0.9801
39,0.533,0.4356,0.8081,0.7968,0.9775
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9801,at Epoch,29
