epoch,train_accuracy,val_accuracy
1,0.4465,0.2062
2,0.5883,0.5066
3,0.6436,0.4884
4,0.6784,0.586
5,0.7031,0.552
6,0.7194,0.6592
7,0.7363,0.637
8,0.7486,0.5524
9,0.7571,0.6872
10,0.7675,0.6272
11,0.7764,0.679
12,0.7883,0.661
13,0.7949,0.7104
14,0.8014,0.6164
15,0.8118,0.7146
16,0.8205,0.6942
17,0.8246,0.7012
18,0.8318,0.6042
19,0.8381,0.6486
20,0.8439,0.7146
21,0.881,0.7614
22,0.9098,0.7686
23,0.9227,0.764
24,0.9317,0.718
25,0.9382,0.7648
26,0.9452,0.764
27,0.9515,0.775
28,0.9544,0.7556
29,0.9568,0.7636
30,0.9632,0.7562
31,0.9616,0.7662
32,0.9653,0.7686
33,0.9774,0.7748
34,0.9871,0.7762
35,0.9896,0.7764
36,0.9898,0.771
37,0.991,0.771
38,0.9923,0.7736
39,0.9918,0.7722
40,0.9918,0.7632
41,0.9944,0.7732
42,0.9961,0.7762
43,0.9963,0.7718
44,0.9963,0.777
45,0.9972,0.7788
46,0.9976,0.7754
47,0.9975,0.7726
48,0.9977,0.7764
49,0.9977,0.7798
50,0.9976,0.7732

test_loss,test_accuracy
1.2761,0.7663
