epoch,train_accuracy,val_accuracy
1,0.4892,0.3774
2,0.6447,0.5908
3,0.7114,0.6462
4,0.7569,0.7152
5,0.7966,0.7362
6,0.8238,0.722
7,0.8461,0.7468
8,0.8705,0.651
9,0.887,0.738
10,0.9038,0.7588
11,0.9151,0.7146
12,0.9239,0.7558
13,0.9304,0.7656
14,0.9363,0.7554
15,0.9413,0.7834
16,0.946,0.681
17,0.9484,0.77
18,0.9528,0.7704
19,0.9581,0.759
20,0.957,0.7808
21,0.9753,0.8014
22,0.9834,0.8016
23,0.9872,0.8052
24,0.9867,0.7986
25,0.987,0.795
26,0.9867,0.7958
27,0.9867,0.7854
28,0.9865,0.7972
29,0.9918,0.8074
30,0.9932,0.8152
31,0.9937,0.8138
32,0.9944,0.8058
33,0.995,0.8048
34,0.9951,0.8082
35,0.9942,0.813
36,0.9956,0.8104
37,0.9966,0.8132
38,0.9966,0.8128
39,0.9969,0.8184
40,0.9973,0.8164
41,0.9973,0.812
42,0.9971,0.8182
43,0.9973,0.814
44,0.9972,0.816
45,0.9976,0.8196
46,0.9979,0.819
47,0.9982,0.818
48,0.998,0.8186
49,0.9984,0.819
50,0.9984,0.8208

test_loss,test_accuracy
1.4333,0.7998
