0.07352941176470588,Type I
0.05813953488372093,Type III
0.06060606060606061,Type I
0.11320754716981132,Type III
0.09210526315789473,Type I
0.15,Type III
0.0,Type I
0.0898876404494382,Type I
0.10714285714285714,Type III
0.036585365853658534,Type III
0.029411764705882353,Type I
0.112,Type I
0.08,Type I
0.028037383177570093,Type I
0.2,Type I
0.05084745762711865,Type I
0.04938271604938271,Type I
0.10714285714285714,Type I
0.18421052631578946,Type I
0.11864406779661017,Type I
0.041666666666666664,Type III
0.10256410256410256,Type III
0.10909090909090909,Type I
0.07920792079207921,Type I
0.16883116883116883,Type I
0.06666666666666667,Type I
0.13793103448275862,Type I
0.15476190476190477,Type I
0.056338028169014086,Type I
0.07407407407407407,Type III
0.1917808219178082,Type III
0.0,Type I
0.07407407407407407,Type I
0.06818181818181818,Type I
0.09090909090909091,Type I
0.19696969696969696,Type III
0.012987012987012988,Type I
0.05555555555555555,Type III
0.05,Type III
0.14285714285714285,Type I
0.11538461538461539,Type I
0.0759493670886076,Type III
0.19672131147540983,Type I
0.125,Type I
0.02666666666666667,Type III
0.19148936170212766,Type I
0.10679611650485436,Type III
0.25,Type III
0.12987012987012986,Type III
0.0,Type III
0.10714285714285714,Type I
0.1134020618556701,Type I
0.07407407407407407,Type I
0.07142857142857142,Type III
0.08737864077669903,Type III
0.10784313725490197,Type I
0.0625,Type I
0.13333333333333333,Type I
0.05405405405405406,Type III
0.07246376811594203,Type I
0.061224489795918366,Type I
0.05555555555555555,Type I
0.10526315789473684,Type I
0.06299212598425197,Type I
0.1111111111111111,Type III
0.1016949152542373,Type I
0.02564102564102564,Type I
0.06666666666666667,Type I
0.08080808080808081,Type I
0.061224489795918366,Type I
0.11842105263157894,Type I
0.014084507042253521,Type I
0.12857142857142856,Type I
0.11290322580645161,Type I
0.05042016806722689,Type III
0.09090909090909091,Type III
0.2,Type I
0.0625,Type I
0.029411764705882353,Type III
0.16666666666666666,Type III
0.11363636363636363,Type I
0.058823529411764705,Type I
0.07017543859649122,Type I
0.029411764705882353,Type I
0.03225806451612903,Type III
0.08163265306122448,Type I
0.17777777777777778,Type III
0.05714285714285714,Type I
0.03508771929824561,Type III
0.14423076923076922,Type I
0.03076923076923077,Type III
0.023809523809523808,Type I
0.1282051282051282,Type I
0.08,Type I
0.14583333333333334,Type I
0.09876543209876543,Type I
0.0673076923076923,Type I
0.07042253521126761,Type I
0.171875,Type III
0.15517241379310345,Type III
0.03409090909090909,Type I
0.175,Type III
0.016666666666666666,Type I
0.10784313725490197,Type I
0.14705882352941177,Type I
0.0851063829787234,Type I
0.0847457627118644,Type I
0.08045977011494253,Type I
0.1076923076923077,Type I
0.06666666666666667,Type III
0.03773584905660377,Type I
0.07272727272727272,Type I
0.016129032258064516,Type I
0.06329113924050633,Type III
0.1,Type III
0.016666666666666666,Type III
0.011764705882352941,Type I
0.11666666666666667,Type I
0.09523809523809523,Type III
0.06818181818181818,Type IV
0.08108108108108109,Type I
0.12396694214876033,Type I
0.18681318681318682,Type I
0.024390243902439025,Type III
0.11570247933884298,Type I
0.020833333333333332,Type III
0.011904761904761904,Type I
0.08433734939759036,Type III
0.0,Type I
0.014084507042253521,Type I
0.015625,Type I
0.014285714285714285,Type I
0.057971014492753624,Type III
0.17,Type III
0.022988505747126436,Type I
0.1322314049586777,Type I
0.0,Type I
0.08791208791208792,Type I
0.046153846153846156,Type I
0.02127659574468085,Type I
0.10344827586206896,Type I
0.041666666666666664,Type I
0.020833333333333332,Type III
0.14545454545454545,Type III
0.012658227848101266,Type III
0.014492753623188406,Type I
0.058823529411764705,Type I
0.09615384615384616,Type I
0.1509433962264151,Type II
0.046153846153846156,Type I
0.03773584905660377,Type I
0.13157894736842105,Type I
0.08888888888888889,Type I
0.18181818181818182,Type II
0.08955223880597014,Type I
0.16666666666666666,Type I
0.10416666666666667,Type I
0.06097560975609756,Type I
0.08333333333333333,Type I
0.08333333333333333,Type I
0.12698412698412698,Type I
0.14285714285714285,Type III
0.020833333333333332,Type III
0.14285714285714285,Type I
0.022727272727272728,Type I
0.16666666666666666,Type I
0.016129032258064516,Type I
0.030303030303030304,Type I
0.11764705882352941,Type III
0.061224489795918366,Type III
0.0,Type I
0.11842105263157894,Type III
0.2894736842105263,Type I
0.11764705882352941,Type III
0.18181818181818182,Type I
0.047619047619047616,Type I
0.1864406779661017,Type III
0.0784313725490196,Type III
0.014925373134328358,Type I
0.05172413793103448,Type III
0.08333333333333333,Type I
0.19402985074626866,Type I
0.10126582278481013,Type I
0.03125,Type III
0.05714285714285714,Type I
0.12162162162162163,Type III
0.11235955056179775,Type I
0.1111111111111111,Type I
0.016666666666666666,Type I
0.07692307692307693,Type I
0.21739130434782608,Type I
0.2898550724637681,Type II
0.04838709677419355,Type I
0.09016393442622951,Type I
0.08163265306122448,Type I
0.0625,Type I
