epoch,train_accuracy,val_accuracy
1,0.4965,0.1232
2,0.6557,0.5364
3,0.7178,0.5846
4,0.7591,0.638
5,0.7819,0.614
6,0.8076,0.6008
7,0.8309,0.7314
8,0.8502,0.7336
9,0.8679,0.7516
10,0.8845,0.7084
11,0.8971,0.7582
12,0.9121,0.768
13,0.9263,0.7
14,0.9326,0.739
15,0.9391,0.7562
16,0.9444,0.7712
17,0.9507,0.756
18,0.9534,0.726
19,0.9534,0.765
20,0.9556,0.7562
21,0.9564,0.764
22,0.9784,0.7696
23,0.9904,0.7776
24,0.9931,0.7954
25,0.9937,0.7974
26,0.9948,0.7792
27,0.9952,0.778
28,0.9942,0.7714
29,0.993,0.7822
30,0.99,0.7724
31,0.9958,0.7988
32,0.998,0.8028
33,0.9982,0.8058
34,0.9987,0.8
35,0.9988,0.8018
36,0.9985,0.7948
37,0.999,0.7996
38,0.9983,0.8036
39,0.9991,0.7946
40,0.9994,0.8046
41,0.9994,0.8012
42,0.9995,0.8058
43,0.9995,0.7938

test_loss,test_accuracy
1.0946,0.7824
