Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.6188,0.4673,0.6617,0.7398,0.9268
1,0.5898,0.5138,0.7199,0.7551,0.9467
2,0.5734,0.4966,0.7418,0.7557,0.9557
3,0.5496,0.5073,0.7641,0.7894,0.9637
4,0.5507,0.5092,0.7454,0.763,0.9671
5,0.5526,0.5297,0.7602,0.771,0.9685
6,0.5914,0.5419,0.7796,0.775,0.9687
7,0.5685,0.5241,0.7802,0.7863,0.9701
8,0.5827,0.5374,0.7644,0.7773,0.973
9,0.5622,0.542,0.7798,0.7866,0.9743
10,0.5423,0.5061,0.7874,0.784,0.973
11,0.5606,0.5535,0.8061,0.7969,0.9732
12,0.5617,0.5577,0.786,0.7847,0.9746
13,0.567,0.5625,0.7882,0.7809,0.9756
14,0.5752,0.5625,0.7937,0.7885,0.9757
15,0.5539,0.5424,0.7714,0.7671,0.9754
16,0.5681,0.5479,0.7699,0.7717,0.9776
17,0.5855,0.5534,0.7948,0.7818,0.9756
18,0.5727,0.5673,0.7782,0.7714,0.9768
19,0.5779,0.5682,0.7609,0.7628,0.9757
20,0.5731,0.5549,0.7517,0.7519,0.9778
21,0.5676,0.5581,0.7633,0.7466,0.9758
22,0.5811,0.5628,0.7671,0.7572,0.978
23,0.57,0.5568,0.7761,0.7651,0.9773
24,0.58,0.5618,0.77,0.7604,0.9778
25,0.5729,0.5552,0.7901,0.7666,0.9773
26,0.5728,0.5421,0.7808,0.7639,0.9752
27,0.5936,0.5801,0.7663,0.7434,0.9765
28,0.5969,0.5808,0.7738,0.7547,0.9753
29,0.5988,0.5813,0.7707,0.7568,0.9777
30,0.6013,0.5786,0.7696,0.7487,0.9774
31,0.5978,0.5506,0.7584,0.7388,0.9774
32,0.5981,0.5738,0.7875,0.7541,0.9772
33,0.6052,0.5773,0.7647,0.7389,0.9777
34,0.5998,0.5766,0.7817,0.7544,0.9773
35,0.6024,0.5498,0.7606,0.7358,0.9781
36,0.6006,0.5825,0.7555,0.7331,0.9759
37,0.6042,0.5832,0.7735,0.7451,0.9742
38,0.6222,0.5895,0.7462,0.737,0.9778
39,0.5838,0.5683,0.7733,0.7461,0.9785
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9785,at Epoch,39
