Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.224,0.6643,0.3379,0.5104,0.9462
1,0.2297,0.6572,0.2759,0.5363,0.9538
2,0.2084,0.6593,0.3243,0.5716,0.9614
3,0.2131,0.6675,0.2613,0.6168,0.9619
4,0.2651,0.6751,0.3221,0.5816,0.9668
5,0.2534,0.6745,0.3212,0.5991,0.967
6,0.2484,0.6861,0.3031,0.6511,0.9668
7,0.2515,0.7075,0.2805,0.5968,0.9701
8,0.2886,0.6787,0.3991,0.6142,0.9703
9,0.2959,0.6915,0.3772,0.6268,0.9722
10,0.3178,0.7012,0.322,0.62,0.9687
11,0.3555,0.6791,0.3825,0.6102,0.9705
12,0.282,0.7059,0.345,0.6045,0.9741
13,0.2673,0.6948,0.372,0.581,0.9714
14,0.3351,0.709,0.3656,0.5906,0.9738
15,0.3563,0.7003,0.3877,0.6048,0.9742
16,0.3087,0.7014,0.3688,0.5805,0.9716
17,0.3374,0.6821,0.4088,0.5945,0.974
18,0.3495,0.689,0.3811,0.5844,0.9749
19,0.3337,0.6953,0.404,0.5739,0.9737
20,0.3556,0.684,0.4156,0.5949,0.9749
21,0.3959,0.6761,0.3856,0.5857,0.9583
22,0.3837,0.6822,0.3976,0.5774,0.9734
23,0.3886,0.6978,0.3803,0.587,0.9741
24,0.3897,0.6951,0.3857,0.586,0.9726
25,0.4149,0.6863,0.4006,0.5981,0.9752
26,0.4125,0.6954,0.3933,0.5813,0.9751
27,0.3899,0.6932,0.4226,0.5794,0.9761
28,0.3624,0.7048,0.4091,0.5816,0.9746
29,0.3863,0.7099,0.3908,0.5847,0.9705
30,0.4234,0.6868,0.3946,0.5819,0.9761
31,0.3699,0.6659,0.4459,0.5903,0.9732
32,0.4513,0.7043,0.3961,0.5811,0.9735
33,0.4042,0.7005,0.3993,0.5893,0.9746
34,0.4207,0.676,0.4059,0.5883,0.9757
35,0.4265,0.6915,0.414,0.5867,0.9738
36,0.4269,0.6762,0.4159,0.5969,0.9747
37,0.4281,0.6954,0.4325,0.5936,0.9751
38,0.4313,0.7055,0.3527,0.5801,0.9752
39,0.4003,0.6886,0.4179,0.6097,0.9714
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9761,at Epoch,27
