Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.51,0.473,0.7476,0.7107,0.9214
1,0.6208,0.5596,0.7712,0.7339,0.9459
2,0.5812,0.5736,0.8073,0.7629,0.9568
3,0.6116,0.5365,0.7605,0.7472,0.9631
4,0.6177,0.5771,0.744,0.7623,0.966
5,0.5389,0.5404,0.7646,0.7402,0.9681
6,0.6011,0.5759,0.7524,0.7475,0.9724
7,0.6106,0.5862,0.7514,0.7138,0.972
8,0.5762,0.5789,0.7728,0.7227,0.97
9,0.583,0.5839,0.7549,0.706,0.9727
10,0.6011,0.5611,0.7432,0.7269,0.9727
11,0.5762,0.5444,0.7566,0.7477,0.9732
12,0.5849,0.5796,0.7324,0.7206,0.9744
13,0.598,0.5764,0.7204,0.6953,0.9744
14,0.5812,0.5754,0.7334,0.727,0.9746
15,0.5638,0.5703,0.7367,0.7508,0.9732
16,0.5962,0.584,0.7488,0.7102,0.9757
17,0.6044,0.5971,0.748,0.7288,0.9777
18,0.6145,0.6076,0.7716,0.7552,0.975
19,0.5995,0.6088,0.7763,0.7326,0.978
20,0.6105,0.6027,0.743,0.7259,0.9784
21,0.5999,0.588,0.7415,0.7058,0.9753
22,0.5885,0.5716,0.7313,0.6897,0.9779
23,0.6163,0.6161,0.7356,0.7294,0.9771
24,0.5826,0.5909,0.752,0.7442,0.9767
25,0.6057,0.5938,0.7291,0.7215,0.9775
26,0.6295,0.6231,0.7544,0.7379,0.9786
27,0.6229,0.602,0.7349,0.7271,0.978
28,0.6068,0.6069,0.7376,0.7159,0.9787
29,0.6209,0.6119,0.7515,0.7252,0.9782
30,0.5954,0.5891,0.7575,0.7396,0.9781
31,0.6023,0.6118,0.7347,0.7443,0.9774
32,0.6205,0.6049,0.7611,0.7443,0.9793
33,0.6213,0.6088,0.7307,0.7305,0.9801
34,0.6265,0.6144,0.7726,0.7357,0.9779
35,0.6053,0.589,0.7666,0.7317,0.9798
36,0.6136,0.6003,0.7459,0.7258,0.9786
37,0.6325,0.601,0.7737,0.7536,0.9774
38,0.6469,0.6163,0.7531,0.7378,0.9782
39,0.5875,0.5807,0.7514,0.7295,0.9786
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9801,at Epoch,33
