Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.6563,0.5896,0.6349,0.6819,0.9231
1,0.6724,0.5924,0.6851,0.7391,0.9475
2,0.6633,0.5751,0.6715,0.7195,0.9587
3,0.6634,0.5792,0.6924,0.7308,0.9648
4,0.649,0.5696,0.6981,0.7326,0.9668
5,0.6568,0.5798,0.6855,0.7225,0.9687
6,0.6383,0.5767,0.7085,0.7302,0.9711
7,0.6169,0.5726,0.71,0.7153,0.9723
8,0.6105,0.557,0.7147,0.7299,0.972
9,0.6259,0.5669,0.6882,0.7066,0.9728
10,0.6151,0.5693,0.6836,0.7105,0.9723
11,0.6041,0.5903,0.7137,0.726,0.9734
12,0.6055,0.5655,0.7211,0.7274,0.9728
13,0.5774,0.5537,0.7076,0.7232,0.9724
14,0.583,0.5491,0.7471,0.7426,0.9755
15,0.5686,0.5448,0.7019,0.7214,0.9766
16,0.5961,0.5636,0.7501,0.7404,0.9766
17,0.6045,0.5581,0.7282,0.7358,0.9761
18,0.584,0.5427,0.7103,0.7168,0.9744
19,0.5985,0.5524,0.7704,0.7423,0.9756
20,0.592,0.5471,0.7467,0.7433,0.975
21,0.6119,0.567,0.7408,0.7348,0.9769
22,0.5695,0.5375,0.7363,0.7335,0.9781
23,0.604,0.5523,0.7339,0.7278,0.9763
24,0.5786,0.5526,0.702,0.7157,0.9767
25,0.5839,0.5426,0.6885,0.7039,0.977
26,0.5884,0.546,0.7326,0.7405,0.9781
27,0.5964,0.5505,0.7322,0.7335,0.9771
28,0.5778,0.5476,0.7328,0.729,0.9778
29,0.5684,0.5325,0.7571,0.737,0.9776
30,0.5708,0.5319,0.7376,0.7311,0.9782
31,0.5651,0.5295,0.7756,0.7482,0.9783
32,0.5715,0.5278,0.7706,0.748,0.9792
33,0.5646,0.5252,0.6985,0.7093,0.975
34,0.5828,0.5427,0.7278,0.7249,0.9751
35,0.5689,0.5296,0.7469,0.7377,0.9791
36,0.5883,0.5492,0.7562,0.7436,0.9768
37,0.5548,0.5204,0.7381,0.7243,0.9786
38,0.5678,0.5322,0.7481,0.7383,0.9795
39,0.56,0.5198,0.7355,0.7315,0.9795
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9795,at Epoch,38
