epoch,train_accuracy,val_accuracy
1,0.4913,0.5608
2,0.631,0.5234
3,0.6961,0.663
4,0.7405,0.6752
5,0.7733,0.6758
6,0.8002,0.7426
7,0.8293,0.6626
8,0.8481,0.7452
9,0.8682,0.7436
10,0.8827,0.748
11,0.8991,0.7558
12,0.9084,0.7508
13,0.9182,0.77
14,0.9244,0.7348
15,0.931,0.7528
16,0.9351,0.7684
17,0.9363,0.7388
18,0.9445,0.75
19,0.9686,0.7928
20,0.9788,0.7972
21,0.9787,0.7886
22,0.9801,0.7864
23,0.9806,0.7972
24,0.9816,0.7884
25,0.9805,0.7816
26,0.987,0.7948
27,0.9906,0.7988
28,0.9906,0.7936
29,0.9915,0.795
30,0.9914,0.8038
31,0.9918,0.7998
32,0.9925,0.7936
33,0.9929,0.8014
34,0.993,0.8026
35,0.9932,0.7986
36,0.9951,0.8058
37,0.9953,0.8126
38,0.9956,0.8056
39,0.9962,0.8022
40,0.9957,0.808
41,0.996,0.8094
42,0.9964,0.8094
43,0.9966,0.8064
44,0.9975,0.808
45,0.9972,0.806
46,0.9975,0.8086
47,0.9974,0.809

test_loss,test_accuracy
1.4187,0.793
