Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.6106,0.5594,0.2906,0.3573,0.9397
1,0.5404,0.5905,0.2519,0.3604,0.9469
2,0.5523,0.62,0.2457,0.3593,0.9501
3,0.5842,0.6499,0.2456,0.3031,0.9614
4,0.5798,0.6314,0.3059,0.3269,0.9631
5,0.6374,0.656,0.2936,0.3227,0.9645
6,0.6214,0.658,0.2914,0.3204,0.9651
7,0.6299,0.6757,0.3026,0.3271,0.9643
8,0.6279,0.661,0.2972,0.3207,0.9664
9,0.6185,0.6767,0.3034,0.3364,0.9638
10,0.6124,0.667,0.3183,0.3397,0.9667
11,0.6413,0.6924,0.3126,0.3382,0.97
12,0.6244,0.6837,0.3424,0.3645,0.9667
13,0.6275,0.6913,0.3185,0.3516,0.9684
14,0.6624,0.7062,0.3492,0.3705,0.9714
15,0.6413,0.685,0.3389,0.3672,0.9675
16,0.6488,0.6874,0.3472,0.3701,0.9661
17,0.6472,0.6964,0.3461,0.3694,0.9684
18,0.6517,0.6952,0.3576,0.3767,0.9703
19,0.6554,0.7013,0.355,0.3755,0.9698
20,0.6804,0.7192,0.3409,0.3688,0.9708
21,0.6707,0.7087,0.3511,0.3746,0.9702
22,0.6645,0.6908,0.3499,0.3746,0.9687
23,0.6708,0.7065,0.3604,0.3828,0.9724
24,0.6694,0.7017,0.3522,0.376,0.9716
25,0.6712,0.7087,0.3554,0.378,0.974
26,0.6861,0.7171,0.3593,0.3809,0.9721
27,0.6863,0.7257,0.3591,0.3801,0.9714
28,0.6667,0.7076,0.3549,0.378,0.967
29,0.6869,0.7189,0.3628,0.3809,0.9712
30,0.6695,0.7063,0.3455,0.3721,0.9715
31,0.6587,0.7051,0.3552,0.3792,0.9725
32,0.695,0.7314,0.3583,0.3813,0.9731
33,0.6924,0.7261,0.3605,0.3824,0.9741
34,0.6935,0.7282,0.3568,0.3789,0.9743
35,0.7018,0.7307,0.3516,0.3797,0.9746
36,0.7073,0.7316,0.36,0.3821,0.9732
37,0.6861,0.7159,0.3609,0.382,0.9728
38,0.6898,0.7182,0.3525,0.3787,0.9732
39,0.6914,0.7235,0.354,0.3795,0.9724
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9746,at Epoch,35
