Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.5862,0.6356,0.6977,0.5507,0.9254
1,0.6088,0.668,0.674,0.5428,0.9477
2,0.6288,0.6964,0.6677,0.5525,0.9575
3,0.6051,0.6827,0.6669,0.5496,0.9591
4,0.5477,0.6916,0.6368,0.5118,0.9661
5,0.5786,0.6997,0.6237,0.5182,0.968
6,0.5937,0.7058,0.6347,0.5539,0.9715
7,0.6023,0.7169,0.6342,0.5185,0.9697
8,0.6001,0.7176,0.6028,0.5263,0.9735
9,0.5933,0.7142,0.6139,0.5209,0.9738
10,0.5633,0.6907,0.6073,0.5601,0.9737
11,0.5779,0.6596,0.5802,0.5227,0.9738
12,0.5817,0.672,0.5982,0.4984,0.9735
13,0.5741,0.6618,0.6254,0.5481,0.9757
14,0.5811,0.6716,0.5909,0.4999,0.9762
15,0.5957,0.687,0.6076,0.5333,0.975
16,0.5811,0.6745,0.6147,0.5726,0.9781
17,0.5708,0.6502,0.6089,0.5482,0.9779
18,0.5719,0.6487,0.5819,0.523,0.976
19,0.6032,0.6689,0.6002,0.5361,0.9786
20,0.5741,0.6332,0.6129,0.5571,0.9755
21,0.5582,0.6294,0.6179,0.5717,0.9781
22,0.5407,0.6291,0.617,0.553,0.9766
23,0.554,0.6163,0.6061,0.5462,0.9775
24,0.5613,0.6296,0.611,0.5584,0.9774
25,0.5695,0.6481,0.6204,0.5671,0.9767
26,0.5831,0.6474,0.5973,0.5355,0.9786
27,0.5917,0.6358,0.6275,0.5828,0.978
28,0.5287,0.6077,0.5974,0.5323,0.9772
29,0.5769,0.6406,0.61,0.57,0.9791
30,0.5806,0.6285,0.6099,0.5592,0.9792
31,0.5627,0.6269,0.6058,0.5315,0.9782
32,0.5741,0.6318,0.62,0.5693,0.9765
33,0.5502,0.6166,0.6133,0.5818,0.9773
34,0.614,0.6696,0.6232,0.5691,0.9786
35,0.5966,0.6542,0.582,0.5283,0.9787
36,0.5627,0.6252,0.6034,0.5286,0.9787
37,0.5871,0.6323,0.5926,0.5446,0.9776
38,0.5648,0.6207,0.6156,0.5785,0.9789
39,0.5468,0.592,0.6316,0.5863,0.9777
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9792,at Epoch,30
