Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.2861,0.7042,0.1361,0.2064,0.9541
1,0.3157,0.7512,0.1322,0.2348,0.9603
2,0.3144,0.6973,0.1334,0.3705,0.9663
3,0.3176,0.7263,0.1345,0.4066,0.9658
4,0.328,0.7181,0.1391,0.4204,0.9666
5,0.3145,0.6408,0.1389,0.4386,0.9708
6,0.3348,0.6608,0.1353,0.4544,0.9719
7,0.3333,0.651,0.1467,0.4615,0.9708
8,0.3529,0.6295,0.1406,0.4803,0.9712
9,0.3861,0.6474,0.1436,0.4765,0.9736
10,0.3527,0.6499,0.1479,0.488,0.9744
11,0.3299,0.6666,0.1306,0.5085,0.9738
12,0.3678,0.6471,0.1416,0.5275,0.9742
13,0.3954,0.6389,0.1426,0.5254,0.9727
14,0.3671,0.6674,0.1597,0.5465,0.9731
15,0.3244,0.6697,0.1596,0.5276,0.9766
16,0.3593,0.6762,0.1525,0.5375,0.9755
17,0.3156,0.6824,0.1696,0.5437,0.9764
18,0.3271,0.6732,0.1758,0.5264,0.9753
19,0.3682,0.6657,0.1823,0.5464,0.9755
20,0.3603,0.6778,0.1804,0.5423,0.9753
21,0.3356,0.6788,0.1792,0.5643,0.9752
22,0.34,0.6603,0.1863,0.5663,0.9749
23,0.363,0.6495,0.1886,0.5479,0.9759
24,0.3478,0.678,0.1822,0.5529,0.9765
25,0.3082,0.6783,0.1861,0.5571,0.9734
26,0.3446,0.6745,0.1888,0.5547,0.9763
27,0.2983,0.6757,0.1847,0.5655,0.9746
28,0.303,0.6819,0.1915,0.559,0.975
29,0.3322,0.6729,0.1926,0.5131,0.9765
30,0.3613,0.6828,0.19,0.524,0.9743
31,0.2948,0.6734,0.1865,0.5447,0.9769
32,0.3723,0.6736,0.1917,0.5158,0.9742
33,0.3793,0.6652,0.1905,0.5411,0.9763
34,0.3584,0.6465,0.1898,0.5394,0.9725
35,0.3507,0.6783,0.1907,0.5729,0.975
36,0.3417,0.7027,0.1926,0.5446,0.9764
37,0.3738,0.6785,0.1906,0.5258,0.9751
38,0.3509,0.6797,0.1906,0.564,0.9752
39,0.322,0.6828,0.1921,0.5482,0.975
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9769,at Epoch,31
