Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.7125,0.7253,0.5981,0.6071,0.9192
1,0.7444,0.7914,0.6246,0.6229,0.9433
2,0.7837,0.807,0.6539,0.6347,0.9545
3,0.7831,0.8029,0.7041,0.6747,0.962
4,0.7855,0.8055,0.7129,0.655,0.9649
5,0.7992,0.8136,0.6886,0.6512,0.9686
6,0.7858,0.8034,0.7144,0.666,0.9723
7,0.8049,0.8298,0.6635,0.6229,0.9715
8,0.7932,0.8164,0.6996,0.6521,0.9743
9,0.794,0.812,0.6702,0.619,0.9742
10,0.7988,0.8219,0.7049,0.6446,0.9753
11,0.7931,0.8176,0.6993,0.6449,0.9758
12,0.7955,0.8194,0.6656,0.6065,0.9763
13,0.8088,0.8358,0.6517,0.6186,0.9768
14,0.7842,0.8247,0.6841,0.6373,0.9779
15,0.784,0.8181,0.6899,0.6227,0.9774
16,0.8094,0.8108,0.6377,0.5943,0.9776
17,0.8089,0.8272,0.6656,0.6101,0.9789
18,0.8183,0.8187,0.6469,0.5942,0.978
19,0.7903,0.8179,0.6373,0.5842,0.9754
20,0.7781,0.8098,0.6762,0.6295,0.9779
21,0.7899,0.8171,0.6773,0.64,0.9777
22,0.7656,0.7762,0.6761,0.6237,0.9783
23,0.8115,0.8366,0.6553,0.6071,0.9793
24,0.7933,0.8094,0.6453,0.5927,0.9789
25,0.7934,0.7978,0.6547,0.6151,0.978
26,0.8021,0.8083,0.6798,0.6395,0.9778
27,0.7906,0.8063,0.652,0.6185,0.9783
28,0.8011,0.8257,0.583,0.5314,0.9729
29,0.7882,0.8017,0.6438,0.5994,0.9783
30,0.8045,0.8184,0.6126,0.5961,0.9774
31,0.7987,0.8159,0.6808,0.6408,0.9793
32,0.7875,0.8058,0.6431,0.601,0.9762
33,0.8157,0.8252,0.6461,0.6318,0.9781
34,0.7839,0.8079,0.6498,0.6201,0.9784
35,0.7975,0.8218,0.6415,0.6076,0.9806
36,0.8051,0.8133,0.6362,0.6201,0.9783
37,0.8092,0.8211,0.6439,0.6232,0.9795
38,0.8054,0.825,0.6739,0.6421,0.9783
39,0.8074,0.8258,0.6886,0.6321,0.9762
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9806,at Epoch,35
