epoch,train_accuracy,val_accuracy
1,0.4935,0.3678
2,0.6499,0.613
3,0.7113,0.6762
4,0.7583,0.6744
5,0.7949,0.759
6,0.8248,0.7554
7,0.8482,0.6994
8,0.8695,0.6332
9,0.8868,0.7452
10,0.907,0.753
11,0.9454,0.7962
12,0.9665,0.7846
13,0.9712,0.8046
14,0.9749,0.7558
15,0.9739,0.7904
16,0.9739,0.8004
17,0.9783,0.791
18,0.9759,0.7806
19,0.9855,0.808
20,0.989,0.8148
21,0.9904,0.8016
22,0.992,0.8136
23,0.9914,0.8078
24,0.9929,0.8084
25,0.9927,0.8114
26,0.9942,0.8138
27,0.9962,0.811
28,0.9956,0.8142
29,0.996,0.816
30,0.9956,0.813
31,0.9968,0.8136
32,0.9964,0.8144
33,0.9964,0.8148
34,0.9965,0.8172
35,0.9967,0.8128
36,0.9967,0.8114
37,0.9966,0.8136
38,0.9968,0.8062
39,0.9971,0.81
40,0.9976,0.8158
41,0.9983,0.8168
42,0.9979,0.8168
43,0.998,0.8186
44,0.998,0.8202
45,0.9981,0.8176
46,0.9985,0.8204
47,0.9983,0.818
48,0.9982,0.8182
49,0.9984,0.8152
50,0.9984,0.8168

test_loss,test_accuracy
1.3789,0.7993
