Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.3532,0.6402,0.2768,0.2898,0.9346
1,0.3668,0.6355,0.2656,0.3216,0.9536
2,0.3497,0.5284,0.2707,0.3313,0.9551
3,0.3659,0.4902,0.2755,0.3975,0.962
4,0.3851,0.4921,0.2788,0.4105,0.9635
5,0.3368,0.5531,0.2768,0.4148,0.9666
6,0.4025,0.6144,0.3185,0.4246,0.9665
7,0.3491,0.5106,0.279,0.4213,0.9641
8,0.3954,0.5399,0.3282,0.4265,0.9664
9,0.3826,0.5549,0.3157,0.425,0.9657
10,0.4032,0.5601,0.3122,0.4259,0.9694
11,0.3954,0.5794,0.3504,0.442,0.9703
12,0.3545,0.5196,0.3461,0.4406,0.9677
13,0.374,0.5481,0.3418,0.426,0.9688
14,0.3659,0.5848,0.3244,0.428,0.9719
15,0.3791,0.5716,0.3529,0.4491,0.9711
16,0.3939,0.5642,0.3483,0.4466,0.9739
17,0.3962,0.5497,0.3489,0.4405,0.9722
18,0.4003,0.561,0.3904,0.4394,0.9732
19,0.3361,0.5198,0.371,0.426,0.9627
20,0.3898,0.5593,0.3483,0.4482,0.9691
21,0.3968,0.5321,0.4371,0.461,0.9729
22,0.4135,0.5738,0.3789,0.4483,0.9723
23,0.3662,0.5758,0.3555,0.4454,0.9704
24,0.425,0.5133,0.3866,0.4423,0.9716
25,0.418,0.538,0.4099,0.4529,0.9751
26,0.4034,0.5526,0.3744,0.4447,0.9704
27,0.4348,0.5811,0.4021,0.4597,0.9748
28,0.4595,0.4929,0.3966,0.4016,0.9691
29,0.4441,0.5749,0.393,0.3619,0.9715
30,0.4205,0.6048,0.4215,0.5437,0.9743
31,0.4452,0.5349,0.4069,0.447,0.9744
32,0.4431,0.5249,0.4229,0.4508,0.9731
33,0.4687,0.5467,0.411,0.4408,0.975
34,0.4703,0.5995,0.4052,0.4378,0.9758
35,0.475,0.5933,0.4223,0.4483,0.9742
36,0.4452,0.5249,0.4272,0.4496,0.9723
37,0.4561,0.5091,0.4314,0.44,0.9743
38,0.4779,0.5983,0.4183,0.4459,0.9743
39,0.4812,0.5785,0.3902,0.4367,0.9735
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9758,at Epoch,34
