epoch,train_accuracy,val_accuracy
1,0.4333,0.2884
2,0.5794,0.4454
3,0.6437,0.436
4,0.6751,0.6094
5,0.7008,0.5928
6,0.7253,0.5202
7,0.7392,0.6884
8,0.7546,0.6282
9,0.7656,0.647
10,0.775,0.7074
11,0.7901,0.7006
12,0.7966,0.694
13,0.8032,0.6816
14,0.8145,0.6532
15,0.8214,0.6922
16,0.8661,0.7734
17,0.8896,0.7458
18,0.9063,0.769
19,0.9182,0.761
20,0.9293,0.7282
21,0.9379,0.7296
22,0.96,0.7624
23,0.9716,0.7652
24,0.9767,0.7748
25,0.9806,0.775
26,0.9833,0.7704
27,0.9868,0.7764
28,0.9868,0.7796
29,0.9873,0.7832
30,0.9881,0.7738
31,0.9876,0.772
32,0.9895,0.7728
33,0.9887,0.7672
34,0.9876,0.7722
35,0.9926,0.7752
36,0.9953,0.7776
37,0.9962,0.7808
38,0.9967,0.7776
39,0.9964,0.7756

test_loss,test_accuracy
1.025,0.7619
