Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.4648,0.5605,0.7419,0.647,0.9217
1,0.4435,0.5378,0.6524,0.6518,0.9479
2,0.4526,0.568,0.6338,0.6387,0.9583
3,0.5148,0.6007,0.6368,0.6339,0.9624
4,0.5137,0.5946,0.6351,0.6516,0.9676
5,0.534,0.6013,0.6396,0.641,0.9705
6,0.5115,0.5936,0.6528,0.6503,0.9704
7,0.5578,0.6014,0.6506,0.6318,0.9708
8,0.5369,0.5997,0.653,0.6362,0.9738
9,0.5719,0.6147,0.6659,0.6556,0.9741
10,0.5561,0.6098,0.6745,0.6509,0.9748
11,0.5859,0.6313,0.6666,0.6401,0.9739
12,0.5046,0.5698,0.6688,0.6354,0.9749
13,0.5766,0.6202,0.6783,0.6504,0.9764
14,0.532,0.5845,0.6739,0.6445,0.9756
15,0.5715,0.6207,0.6586,0.6423,0.975
16,0.5808,0.6175,0.6729,0.6408,0.9767
17,0.6066,0.6516,0.6795,0.6555,0.977
18,0.5479,0.6087,0.6826,0.6601,0.9757
19,0.5589,0.6113,0.68,0.6505,0.9768
20,0.6112,0.642,0.6748,0.6514,0.9778
21,0.6223,0.6717,0.6717,0.6477,0.977
22,0.562,0.6141,0.6653,0.6502,0.9773
23,0.5855,0.6306,0.6728,0.6581,0.9779
24,0.6052,0.6288,0.6748,0.6604,0.9783
25,0.5753,0.6194,0.6864,0.646,0.9777
26,0.5594,0.6067,0.6844,0.6707,0.9777
27,0.5735,0.6191,0.6829,0.6565,0.9768
28,0.6084,0.6487,0.6952,0.662,0.9752
29,0.5887,0.6401,0.6771,0.6477,0.9754
30,0.5697,0.6252,0.6729,0.6389,0.9774
31,0.5933,0.6415,0.6914,0.659,0.9779
32,0.5666,0.6266,0.6787,0.6582,0.9779
33,0.5618,0.6083,0.6834,0.6721,0.9791
34,0.5711,0.6187,0.678,0.6531,0.9774
35,0.5882,0.6292,0.6815,0.6586,0.9784
36,0.6146,0.6355,0.6821,0.6466,0.9757
37,0.653,0.6789,0.6817,0.6585,0.9778
38,0.5801,0.6274,0.6954,0.6514,0.9773
39,0.5851,0.6369,0.6806,0.6491,0.9773
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9791,at Epoch,33
