Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.4697,0.457,0.7052,0.7218,0.9239
1,0.4822,0.4715,0.6842,0.7162,0.9477
2,0.5192,0.4777,0.6879,0.7287,0.9581
3,0.5506,0.5203,0.6936,0.7243,0.9604
4,0.5309,0.4827,0.702,0.728,0.9684
5,0.5421,0.5263,0.708,0.7347,0.9696
6,0.5357,0.5121,0.6986,0.7239,0.9711
7,0.5536,0.5205,0.701,0.7298,0.9726
8,0.5826,0.5364,0.7064,0.7243,0.9736
9,0.5673,0.5474,0.7014,0.7283,0.974
10,0.5689,0.5132,0.6911,0.718,0.9756
11,0.5919,0.5461,0.6995,0.718,0.9756
12,0.6045,0.5652,0.6803,0.7106,0.9769
13,0.5881,0.5606,0.6964,0.7218,0.9783
14,0.5943,0.5465,0.6773,0.7024,0.9767
15,0.569,0.5441,0.657,0.6944,0.973
16,0.5946,0.5615,0.6819,0.7063,0.9769
17,0.5914,0.5451,0.6947,0.7142,0.9784
18,0.5884,0.5489,0.6945,0.7174,0.9776
19,0.6225,0.5725,0.6869,0.7131,0.9779
20,0.6082,0.5522,0.6718,0.6998,0.9781
21,0.5368,0.5342,0.6856,0.7169,0.977
22,0.6055,0.5489,0.6778,0.7,0.9794
23,0.6321,0.5656,0.6939,0.7134,0.9778
24,0.6042,0.5691,0.6807,0.7013,0.9795
25,0.6026,0.564,0.6858,0.7134,0.9797
26,0.6255,0.5808,0.6753,0.7037,0.9774
27,0.6036,0.5676,0.6873,0.7071,0.9798
28,0.5842,0.5516,0.6902,0.7074,0.9793
29,0.5909,0.5713,0.6713,0.7001,0.9767
30,0.6024,0.552,0.6848,0.7033,0.9784
31,0.6051,0.5631,0.6608,0.6882,0.9792
32,0.6303,0.5687,0.6828,0.6986,0.9802
33,0.6064,0.5771,0.6931,0.7153,0.9788
34,0.5889,0.5729,0.6797,0.7106,0.9804
35,0.6267,0.5772,0.6697,0.6989,0.9797
36,0.5845,0.5672,0.6711,0.7027,0.9777
37,0.6034,0.5755,0.681,0.6987,0.9795
38,0.6093,0.5698,0.6848,0.703,0.9791
39,0.63,0.5736,0.6847,0.7098,0.98
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9804,at Epoch,34
