epoch,train_accuracy,val_accuracy
1,0.4833,0.3364
2,0.627,0.5104
3,0.6957,0.6026
4,0.741,0.693
5,0.779,0.7286
6,0.8064,0.7392
7,0.8344,0.7322
8,0.8602,0.6954
9,0.878,0.7218
10,0.8945,0.7668
11,0.9076,0.7222
12,0.92,0.7492
13,0.9265,0.7602
14,0.9358,0.7626
15,0.9407,0.7612
16,0.965,0.8004
17,0.9765,0.7964
18,0.98,0.801
19,0.9817,0.8012
20,0.9821,0.798
21,0.9815,0.7832
22,0.9828,0.7982
23,0.9823,0.7732
24,0.981,0.7662
25,0.9867,0.8016
26,0.9918,0.806
27,0.9915,0.8066
28,0.9927,0.802
29,0.9929,0.8034
30,0.9942,0.7994
31,0.9942,0.7958
32,0.9935,0.8012
33,0.9954,0.8044
34,0.9954,0.806
35,0.9966,0.8068
36,0.9962,0.8038
37,0.9961,0.7988
38,0.9964,0.8038
39,0.9967,0.809
40,0.9967,0.806
41,0.9969,0.8078
42,0.9971,0.8064
43,0.9974,0.8056
44,0.9971,0.8078
45,0.9975,0.81
46,0.9978,0.8078
47,0.9975,0.8084
48,0.9978,0.8094
49,0.9978,0.8122
50,0.998,0.8092

test_loss,test_accuracy
1.4114,0.7969
