Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.6542,0.6904,0.4834,0.3698,0.9279
1,0.6729,0.6997,0.4749,0.3694,0.9491
2,0.6828,0.7318,0.4598,0.3598,0.9557
3,0.6726,0.762,0.4551,0.3775,0.9639
4,0.7078,0.7954,0.4399,0.37,0.964
5,0.6725,0.7464,0.4529,0.3784,0.9703
6,0.7001,0.7806,0.4516,0.3784,0.9712
7,0.6815,0.7744,0.4439,0.3654,0.9714
8,0.67,0.7506,0.45,0.3649,0.974
9,0.7125,0.7923,0.4357,0.3578,0.9742
10,0.7309,0.8104,0.4733,0.3871,0.9759
11,0.7528,0.8223,0.4465,0.3585,0.9728
12,0.7339,0.8093,0.457,0.3548,0.9746
13,0.6949,0.7678,0.4907,0.3955,0.9745
14,0.7429,0.8186,0.4675,0.3747,0.9782
15,0.7229,0.7946,0.4716,0.3712,0.9769
16,0.7102,0.7801,0.4582,0.3642,0.9772
17,0.7208,0.7961,0.4607,0.3676,0.9783
18,0.7647,0.8258,0.4764,0.3967,0.9777
19,0.7782,0.8313,0.4593,0.3535,0.9768
20,0.7587,0.8213,0.4692,0.3573,0.9768
21,0.7952,0.8524,0.4651,0.3622,0.9784
22,0.7576,0.8228,0.4965,0.3969,0.9789
23,0.7666,0.8297,0.4814,0.3776,0.9781
24,0.7515,0.8171,0.4884,0.3655,0.9775
25,0.769,0.8397,0.4735,0.3605,0.9791
26,0.7529,0.8188,0.484,0.3942,0.9779
27,0.7632,0.8317,0.497,0.3754,0.9789
28,0.7646,0.816,0.4924,0.38,0.9802
29,0.7605,0.8135,0.5091,0.4005,0.9784
30,0.7828,0.8419,0.4972,0.3851,0.9761
31,0.7843,0.8425,0.4978,0.3824,0.9794
32,0.7605,0.8259,0.5115,0.4087,0.9787
33,0.7762,0.8344,0.4983,0.3813,0.9791
34,0.7621,0.8386,0.509,0.4044,0.9777
35,0.769,0.8393,0.5081,0.3917,0.9785
36,0.7805,0.8454,0.5126,0.4032,0.9802
37,0.7834,0.8402,0.4997,0.3648,0.9781
38,0.7743,0.8362,0.5098,0.3844,0.9798
39,0.7906,0.8554,0.5027,0.3924,0.979
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9802,at Epoch,28
