epoch,train_accuracy,val_accuracy
1,0.4988,0.482
2,0.6433,0.589
3,0.703,0.6318
4,0.7466,0.6906
5,0.7785,0.7428
6,0.807,0.7412
7,0.832,0.7382
8,0.8529,0.7568
9,0.8748,0.7744
10,0.8934,0.7192
11,0.9048,0.7804
12,0.9128,0.7296
13,0.9212,0.731
14,0.9309,0.7508
15,0.9346,0.7658
16,0.9403,0.7548
17,0.965,0.7872
18,0.9747,0.7856
19,0.9772,0.7712
20,0.9778,0.7874
21,0.979,0.791
22,0.9803,0.7976
23,0.9785,0.7926
24,0.9791,0.7888
25,0.9813,0.7886
26,0.9821,0.7866
27,0.9821,0.785
28,0.9878,0.8022
29,0.9909,0.8116
30,0.9916,0.8112
31,0.9914,0.7998
32,0.9928,0.795
33,0.9928,0.7996
34,0.9922,0.8138
35,0.993,0.8006
36,0.9938,0.8032
37,0.9935,0.8088
38,0.9934,0.7998
39,0.9936,0.8102
40,0.9946,0.8096
41,0.9956,0.8112
42,0.9964,0.8106
43,0.9964,0.811
44,0.9961,0.81

test_loss,test_accuracy
1.3286,0.7898
