Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.5613,0.289,0.5569,0.4032,0.9385
1,0.5643,0.3967,0.6108,0.4352,0.95
2,0.5775,0.4056,0.6263,0.4451,0.9554
3,0.5964,0.4417,0.6126,0.4325,0.9588
4,0.5671,0.4531,0.6216,0.436,0.9564
5,0.5577,0.4489,0.6336,0.4586,0.9649
6,0.5677,0.4575,0.6347,0.4614,0.962
7,0.5881,0.4878,0.6316,0.4603,0.9675
8,0.4836,0.5396,0.6241,0.4689,0.9688
9,0.4765,0.5518,0.6311,0.4618,0.967
10,0.4776,0.4622,0.6312,0.4645,0.9666
11,0.4698,0.4558,0.6381,0.4664,0.9688
12,0.4775,0.5317,0.6303,0.4688,0.9665
13,0.4724,0.4616,0.6361,0.4666,0.9696
14,0.4776,0.5292,0.6317,0.4621,0.9684
15,0.476,0.4439,0.6311,0.4765,0.9683
16,0.4754,0.4749,0.6464,0.4943,0.9712
17,0.4763,0.5238,0.6399,0.5172,0.9705
18,0.4721,0.3819,0.6414,0.5156,0.9721
19,0.4839,0.4224,0.6317,0.5141,0.97
20,0.4772,0.4383,0.6401,0.5295,0.9697
21,0.4762,0.4416,0.6425,0.5336,0.971
22,0.4796,0.4778,0.6424,0.5381,0.971
23,0.4795,0.4688,0.6335,0.5286,0.9701
24,0.4808,0.4704,0.6374,0.5744,0.9695
25,0.4762,0.4706,0.636,0.5336,0.9674
26,0.4774,0.4656,0.6425,0.5108,0.9706
27,0.4747,0.4646,0.647,0.5206,0.9732
28,0.4727,0.4649,0.6403,0.5189,0.9723
29,0.4789,0.5072,0.6361,0.5164,0.9707
30,0.4723,0.465,0.6401,0.5258,0.9729
31,0.4811,0.4808,0.6347,0.5144,0.9697
32,0.4743,0.4633,0.6385,0.5268,0.9671
33,0.4772,0.4709,0.63,0.5191,0.9699
34,0.4782,0.4742,0.6412,0.5201,0.9715
35,0.4668,0.4617,0.6425,0.5239,0.9711
36,0.481,0.5347,0.6342,0.5264,0.9725
37,0.4654,0.458,0.639,0.5266,0.9711
38,0.4837,0.4755,0.6401,0.5295,0.9735
39,0.4833,0.4754,0.6344,0.5265,0.9736
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9736,at Epoch,39
