Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.111,0.2686,0.3977,0.8199,0.9496
1,0.1181,0.3173,0.4742,0.8047,0.9625
2,0.1385,0.3881,0.4535,0.7919,0.9635
3,0.118,0.3857,0.4407,0.7695,0.9658
4,0.1503,0.4305,0.4814,0.8082,0.9685
5,0.15,0.4693,0.4737,0.7619,0.9671
6,0.141,0.4438,0.4996,0.7528,0.9703
7,0.183,0.4631,0.4943,0.7963,0.9718
8,0.1488,0.4681,0.4601,0.7988,0.9699
9,0.162,0.4756,0.4598,0.7785,0.9693
10,0.1511,0.4682,0.5117,0.7994,0.9757
11,0.1779,0.4767,0.5019,0.8047,0.9717
12,0.1713,0.476,0.5176,0.771,0.9735
13,0.1547,0.4798,0.5285,0.7906,0.9745
14,0.1923,0.4823,0.5577,0.7527,0.9757
15,0.1983,0.4883,0.5792,0.8109,0.9761
16,0.2322,0.477,0.5743,0.8107,0.9729
17,0.1815,0.4909,0.5253,0.7961,0.9737
18,0.1585,0.4716,0.5522,0.7836,0.9718
19,0.2001,0.4599,0.5556,0.8101,0.9745
20,0.1741,0.4852,0.5825,0.8073,0.9751
21,0.2203,0.4608,0.5069,0.784,0.9766
22,0.204,0.4885,0.5703,0.8056,0.9748
23,0.234,0.4464,0.5793,0.8116,0.975
24,0.1998,0.454,0.5737,0.8147,0.9731
25,0.2197,0.4632,0.5873,0.7775,0.9762
26,0.2616,0.4992,0.5424,0.7947,0.9771
27,0.1934,0.4636,0.6024,0.792,0.974
28,0.2193,0.438,0.5782,0.8221,0.9751
29,0.2195,0.4492,0.557,0.8005,0.9755
30,0.2182,0.4553,0.5506,0.8372,0.9763
31,0.243,0.5058,0.5795,0.8192,0.9773
32,0.2797,0.5088,0.5902,0.8316,0.9769
33,0.3108,0.5123,0.5825,0.8143,0.9764
34,0.2302,0.4791,0.5764,0.8043,0.979
35,0.2539,0.465,0.5597,0.8125,0.9752
36,0.28,0.4727,0.6007,0.8327,0.9778
37,0.2339,0.4739,0.5392,0.7917,0.9729
38,0.2602,0.5022,0.5367,0.803,0.9763
39,0.3025,0.5039,0.5854,0.8272,0.9757
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.979,at Epoch,34
