epoch,train_accuracy,val_accuracy
1,0.4345,0.219
2,0.5911,0.4026
3,0.6486,0.464
4,0.6823,0.6084
5,0.7052,0.5376
6,0.7238,0.6468
7,0.7388,0.6656
8,0.7507,0.6676
9,0.759,0.7226
10,0.7684,0.7004
11,0.7806,0.5924
12,0.7903,0.7198
13,0.797,0.7028
14,0.8069,0.576
15,0.8413,0.7648
16,0.8686,0.7282
17,0.8835,0.7382
18,0.8972,0.7646
19,0.9098,0.7672
20,0.9159,0.7458
21,0.927,0.7674
22,0.9347,0.7518
23,0.9387,0.7542
24,0.9455,0.7564
25,0.9482,0.744
26,0.9515,0.7546
27,0.9681,0.7718
28,0.9792,0.7724
29,0.9834,0.77
30,0.9842,0.7756
31,0.9874,0.768
32,0.9879,0.773
33,0.9887,0.7704
34,0.988,0.7694
35,0.9878,0.7752
36,0.9921,0.7714
37,0.9945,0.7806
38,0.9949,0.7738
39,0.9952,0.7758
40,0.9958,0.7734
41,0.996,0.7708
42,0.996,0.7708
43,0.9969,0.7736
44,0.9975,0.779
45,0.9977,0.7736
46,0.9975,0.776
47,0.9977,0.7806

test_loss,test_accuracy
1.1073,0.7663
