epoch,train_accuracy,val_accuracy
1,0.5091,0.5134
2,0.6479,0.3976
3,0.7052,0.6078
4,0.7391,0.5946
5,0.7615,0.7088
6,0.7829,0.7326
7,0.8043,0.696
8,0.8157,0.6668
9,0.8379,0.7376
10,0.8466,0.684
11,0.8641,0.7568
12,0.8746,0.7248
13,0.8848,0.7092
14,0.8969,0.698
15,0.9022,0.7482
16,0.9118,0.7514
17,0.948,0.7824
18,0.9647,0.7748
19,0.9737,0.7808
20,0.9762,0.7778
21,0.9787,0.7858
22,0.9788,0.7718
23,0.9798,0.752
24,0.9812,0.7758
25,0.9833,0.776
26,0.9809,0.7726
27,0.9902,0.7896
28,0.9948,0.7776
29,0.9949,0.7818
30,0.9932,0.7884
31,0.9952,0.7848
32,0.996,0.788
33,0.9976,0.7908
34,0.9976,0.7918
35,0.9984,0.7914
36,0.9973,0.794
37,0.9986,0.7912
38,0.9986,0.792
39,0.9986,0.7904
40,0.9986,0.7924
41,0.9988,0.788
42,0.999,0.7918
43,0.9991,0.792
44,0.9992,0.793
45,0.9994,0.7908
46,0.9987,0.7918

test_loss,test_accuracy
1.1574,0.778
