Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.3882,0.4691,0.2122,0.2876,0.9403
1,0.4913,0.4498,0.2425,0.2599,0.9524
2,0.5607,0.4557,0.2597,0.3077,0.9599
3,0.5632,0.4879,0.2689,0.3101,0.9647
4,0.5685,0.4614,0.2783,0.3315,0.963
5,0.574,0.4802,0.2814,0.3646,0.9635
6,0.5702,0.5234,0.2776,0.3497,0.9664
7,0.5864,0.487,0.2896,0.3686,0.9671
8,0.6243,0.4972,0.2972,0.3784,0.9654
9,0.5941,0.5018,0.2967,0.3773,0.9702
10,0.5783,0.5015,0.3098,0.4019,0.9678
11,0.6032,0.5529,0.311,0.4176,0.9717
12,0.595,0.5135,0.3063,0.4335,0.9633
13,0.6362,0.5584,0.3186,0.4423,0.9716
14,0.6037,0.5318,0.3202,0.4195,0.9657
15,0.631,0.5655,0.3146,0.4284,0.9705
16,0.628,0.5912,0.317,0.4195,0.9714
17,0.6287,0.5668,0.3186,0.4267,0.9706
18,0.6109,0.5502,0.3252,0.4328,0.9719
19,0.6174,0.5644,0.3267,0.4334,0.9699
20,0.6298,0.5571,0.3118,0.4227,0.9711
21,0.6228,0.5835,0.3395,0.4426,0.972
22,0.6016,0.5646,0.3611,0.4443,0.9732
23,0.645,0.5744,0.3384,0.4435,0.9714
24,0.6558,0.5683,0.3387,0.4342,0.9715
25,0.6071,0.5628,0.3258,0.4358,0.9716
26,0.6289,0.5659,0.3463,0.4347,0.9693
27,0.6402,0.563,0.3443,0.444,0.9725
28,0.6167,0.5596,0.3539,0.4496,0.9706
29,0.6074,0.5556,0.3536,0.4535,0.9746
30,0.6331,0.5542,0.3577,0.4548,0.972
31,0.603,0.5646,0.3798,0.4565,0.9713
32,0.6211,0.5785,0.3576,0.4547,0.9744
33,0.6402,0.5758,0.35,0.4646,0.9712
34,0.6219,0.5585,0.3692,0.4669,0.9721
35,0.5991,0.5475,0.3797,0.4779,0.9722
36,0.6231,0.5502,0.3464,0.4622,0.9744
37,0.6227,0.5615,0.371,0.4721,0.9738
38,0.6107,0.5654,0.3561,0.4664,0.9714
39,0.6166,0.5578,0.3527,0.452,0.9728
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9746,at Epoch,29
