epoch,train_accuracy,val_accuracy
1,0.5043,0.25
2,0.6639,0.597
3,0.7212,0.6658
4,0.7565,0.6714
5,0.7848,0.6572
6,0.8057,0.7114
7,0.8264,0.7036
8,0.8459,0.7286
9,0.8607,0.7424
10,0.876,0.6832
11,0.8931,0.716
12,0.9052,0.6834
13,0.9124,0.7566
14,0.9236,0.7636
15,0.9328,0.7564
16,0.936,0.7064
17,0.9437,0.765
18,0.9479,0.7522
19,0.9495,0.7464
20,0.9523,0.7562
21,0.9554,0.7632
22,0.9549,0.744
23,0.9785,0.787
24,0.9893,0.7896
25,0.9924,0.7888
26,0.9939,0.7942
27,0.9942,0.7814
28,0.9942,0.7848
29,0.993,0.7776
30,0.9916,0.7804
31,0.9896,0.786
32,0.9947,0.79
33,0.997,0.79
34,0.9977,0.7934
35,0.9986,0.7922
36,0.9985,0.793

test_loss,test_accuracy
0.9958,0.7735
