Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.2808,0.8727,0.2664,0.261,0.9445
1,0.2884,0.865,0.2445,0.2369,0.9592
2,0.3061,0.9046,0.203,0.2932,0.9617
3,0.3014,0.8796,0.187,0.3512,0.9617
4,0.3065,0.9152,0.2154,0.3636,0.9692
5,0.3494,0.8861,0.2029,0.3373,0.9646
6,0.3441,0.9112,0.1976,0.407,0.9698
7,0.3415,0.8892,0.1936,0.4115,0.9709
8,0.363,0.8719,0.1851,0.4,0.9679
9,0.3634,0.8871,0.1972,0.4204,0.9729
10,0.3485,0.9106,0.2022,0.4147,0.9734
11,0.3643,0.887,0.2005,0.4225,0.9734
12,0.4026,0.8988,0.1826,0.4054,0.9706
13,0.3902,0.9018,0.2008,0.4508,0.9745
14,0.3614,0.8783,0.2123,0.4445,0.9741
15,0.358,0.8929,0.2021,0.4449,0.9738
16,0.3892,0.8876,0.1962,0.4914,0.9729
17,0.3933,0.8783,0.2055,0.4482,0.9759
18,0.3867,0.891,0.2014,0.4267,0.9751
19,0.3874,0.8969,0.2078,0.4723,0.9777
20,0.391,0.8849,0.2074,0.4701,0.9755
21,0.3734,0.869,0.2041,0.5077,0.9744
22,0.3718,0.8723,0.193,0.5226,0.9743
23,0.3892,0.8721,0.2138,0.4948,0.9752
24,0.351,0.8627,0.2163,0.5287,0.9748
25,0.38,0.8532,0.2083,0.5428,0.9767
26,0.4014,0.84,0.225,0.4759,0.9743
27,0.3696,0.8411,0.2135,0.5383,0.9738
28,0.375,0.8319,0.2099,0.555,0.9751
29,0.3979,0.8664,0.2283,0.5322,0.9765
30,0.3956,0.8577,0.2126,0.5729,0.9744
31,0.3833,0.8724,0.2118,0.5709,0.9748
32,0.3671,0.8355,0.2058,0.5172,0.9721
33,0.3611,0.8615,0.2179,0.5779,0.9708
34,0.3476,0.8226,0.232,0.5667,0.9742
35,0.3878,0.8486,0.2101,0.5881,0.9742
36,0.3823,0.8347,0.2062,0.5845,0.9761
37,0.3652,0.8199,0.2062,0.5686,0.9756
38,0.3552,0.8399,0.2095,0.6309,0.9763
39,0.3785,0.8534,0.2083,0.5831,0.9761
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9777,at Epoch,19
