epoch,train_accuracy,val_accuracy
1,0.5017,0.3444
2,0.6469,0.5656
3,0.7144,0.5442
4,0.7502,0.6774
5,0.7842,0.7592
6,0.8152,0.737
7,0.8391,0.7472
8,0.8624,0.7258
9,0.8799,0.7242
10,0.899,0.7564
11,0.94,0.7984
12,0.9598,0.7936
13,0.9651,0.795
14,0.9688,0.7898
15,0.9702,0.7956
16,0.97,0.7924
17,0.9803,0.8004
18,0.9862,0.8122
19,0.9874,0.8022
20,0.9884,0.8078
21,0.99,0.809
22,0.9905,0.8072
23,0.9912,0.799
24,0.9924,0.8102
25,0.9936,0.8036
26,0.9939,0.8062
27,0.9951,0.8076
28,0.9952,0.8108

test_loss,test_accuracy
1.0634,0.793
