epoch,train_accuracy,val_accuracy
1,0.4984,0.1874
2,0.6535,0.6356
3,0.7177,0.6862
4,0.7544,0.6022
5,0.7826,0.7074
6,0.8094,0.683
7,0.8287,0.7044
8,0.8493,0.6878
9,0.8682,0.7542
10,0.8835,0.7352
11,0.8947,0.719
12,0.9083,0.7174
13,0.9228,0.6758
14,0.9298,0.687
15,0.9627,0.7838
16,0.9807,0.789
17,0.986,0.776
18,0.989,0.7714
19,0.9884,0.7838
20,0.9898,0.7814
21,0.9884,0.748
22,0.994,0.7864
23,0.9968,0.7868
24,0.9971,0.7908
25,0.9975,0.7934
26,0.9978,0.7862
27,0.9984,0.7868
28,0.9978,0.7882
29,0.9975,0.782
30,0.9978,0.7874
31,0.9989,0.7908
32,0.9989,0.7882
33,0.9993,0.7912
34,0.9994,0.7924
35,0.9993,0.7834

test_loss,test_accuracy
0.9587,0.7854
