epoch,train_accuracy,val_accuracy
1,0.5103,0.5304
2,0.6548,0.6774
3,0.7045,0.6824
4,0.7384,0.6936
5,0.7598,0.671
6,0.7846,0.702
7,0.7997,0.73
8,0.816,0.7014
9,0.8308,0.7208
10,0.8477,0.6852
11,0.8582,0.716
12,0.8688,0.7292
13,0.9127,0.7724
14,0.9372,0.7922
15,0.9499,0.7772
16,0.9588,0.7894
17,0.9645,0.7842
18,0.9676,0.7866
19,0.9713,0.768
20,0.9847,0.7912
21,0.9886,0.793
22,0.9907,0.7938
23,0.9916,0.7832
24,0.9931,0.7882
25,0.9927,0.7948
26,0.9931,0.785
27,0.9924,0.7792
28,0.9934,0.7708
29,0.9933,0.7948
30,0.9944,0.7902
31,0.9966,0.792
32,0.9977,0.7932
33,0.9976,0.7972
34,0.9976,0.7868
35,0.9979,0.791
36,0.9979,0.7952
37,0.9977,0.797
38,0.9985,0.7988
39,0.9978,0.7924
40,0.9988,0.7962
41,0.9986,0.7914
42,0.9986,0.7894
43,0.9983,0.795
44,0.9989,0.7994
45,0.9988,0.7964
46,0.9991,0.7976
47,0.9992,0.7956
48,0.9993,0.7956
49,0.9994,0.7936
50,0.9995,0.7968

test_loss,test_accuracy
1.1923,0.7794
