epoch,train_accuracy,val_accuracy
1,0.4876,0.4238
2,0.638,0.3976
3,0.6986,0.6616
4,0.7321,0.6902
5,0.7578,0.6648
6,0.7768,0.7282
7,0.8003,0.7476
8,0.8127,0.6304
9,0.829,0.6946
10,0.8426,0.7268
11,0.8547,0.7286
12,0.8688,0.7324
13,0.9112,0.7856
14,0.9357,0.7854
15,0.9475,0.7728
16,0.9549,0.7836
17,0.9609,0.7752
18,0.9664,0.7764
19,0.9796,0.793
20,0.9866,0.791
21,0.9891,0.7908
22,0.9907,0.787
23,0.9909,0.7922
24,0.9914,0.7858
25,0.9945,0.7948
26,0.9957,0.797
27,0.9964,0.7934
28,0.9964,0.7852
29,0.997,0.794
30,0.9971,0.7896
31,0.9974,0.7866
32,0.9978,0.7964
33,0.9986,0.7966
34,0.9983,0.7938
35,0.9984,0.7938
36,0.9984,0.791

test_loss,test_accuracy
0.9849,0.7743
